actor_id
Ernest Hogan
Matilda Sissieretta Joyner Jones (also known as The Black Patti)
George H. Reed
Bob Cole
Madame Sul-Te-Wan
George Walker 
Bert Williams 
John Larkin 
Bill Robinson 
Jesse Graves 
Noble Johnson 
Clinton Rosemond 
Frank H. Wilson 
Sam McDaniel 
Dooley Wilson 
Spencer Bell 
Tim Moore 
Clarence Muse 
Oscar Micheaux 
Charles R. Moore 
Ernest Whitman 
Spencer Williams 
Rex Ingram  
Hattie McDaniel 
Bill Walker 
Ethel Waters 
Evelyn Preer 
Juano Hernandez 
Johnny Lee 
Paul Robeson 
Lillian Randolph 
Blue Washington 
Oscar Polk 
Duke Ellington 
Ruby Dandridge  
Etta Moten 
Adelaide Hall
Jester Hairston
Louise Beavers
Everett Brown
Stepin Fetchit
Mantan Moreland
Fredi Washington
James Baskett
Pigmeat Markham
Eddie Anderson
Frederick O'Neal
Lillian Yarbo
Dudley Dickerson
Josephine Baker
Theresa Harris
Ernestine Wade
Fred Toones
Victoria Spivey
Alvin Childress
Cab Calloway
Canada Lee
Louis Jordan
Helen Martin
Katherine Dunham
Nick Stewart (also known as Nicodemus or Nick O'Demus)
Scatman Crothers
Napoleon Whiting
Muriel Rahn
Rosetta LeNoire
Butterfly McQueen
Pearl Bailey
Nina Mae McKinney
Ernest Morrison
Herb Jeffries
Anise Boyer
Roy Glenn
Woody Strode
Juanita Moore
Fayard Nicholas
Willie Best (also known as Sleep 'n' Eat)
Jeni Le Gon
Ossie Davis
Lena Horne
Davis Roberts
Isabel Sanford
Ella Fitzgerald
James Edwards
Nipsey Russell
Nat 'King' Cole
Hazel Scott
"Allen ""Farina"" Hoskins"
LaWanda Page
Esther Rolle
Beah Richards
Harold Nicholas
Dorothy Dandridge
Redd Foxx
Roscoe Lee Browne
Muriel Smith
Julius Harris
Ruby Dee
Cicely Tyson
"Matthew ""Stymie"" Beard"
Sammy Davis Jr.
Rudy Ray Moore
Harry Belafonte
Rupert Crosse
Robert Guillaume
Brock Peters
Sidney Poitier
Eartha Kitt
Maya Angelou
Moses Gunn
Roxie Roker
Abbey Lincoln
Raymond St. Jacques
James Earl Jones
"Billie ""Buckwheat"" Thomas"
Ivan Dixon
Marla Gibbs
Carl Gordon
Nichelle Nichols
Melvin Van Peebles
Godfrey Cambridge
Greg Morris
Flip Wilson
Wilbert Bill Cobbs
Diahann Carroll
Gail Fisher
Louis Gossett Jr.
Bill Cosby
Morgan Freeman
Ron O'Neal
Billy Dee Williams
Sherman Hemsley
Madge Sinclair
Fred Williamson
John Amos
Cleavon Little
Clarence Williams III
Yaphet Kotto
Thalmus Rasulala
Paul Winfield
Richard Pryor
John Witherspoon
Isaac Hayes
Art Evans (actor)
Richard Roundtree
Leslie Uggams
Georg Stanford Brown
Margaret Avery
Patti LaBelle
Diana Ross
Ja'net Dubois
Charlie Robinson
James Avery
Ernie Hudson
Melba Moore
Danny Glover
Gregory Hines
Ben Vereen
Demond Wilson
Glynn Turman
Joe Morton
Jimmie Walker
Grace Jones
Carl Weathers
Phylicia Rashad
Avery Brooks
Samuel L. Jackson
Lynne Thigpen
Nell Carter
Pam Grier
Frankie Faison
Kene Holliday
Loretta Devine
Howard E. Rollins Jr.
Dorian Harewood
Debbie Allen
Jo Marie Payton
Obba Babatundé
Alfre Woodard
Delroy Lindo
Reginald VelJohnson
Michael Dorn
Tom Wright
Clarke Peters
S. Epatha Merkerson
Lynn Whitfield
Robert Wisdom
Oprah Winfrey
Marsha Warfield
Dennis Haysbert
James Pickens Jr.
Tony Todd
Robert Gossett
Denzel Washington
Roger Guenveur Smith
Whoopi Goldberg
Clarence Gilyard
Clifton Powell
David Alan Grier
Keith David
Arsenio Hall
Khandi Alexander
Robert Townsend
Levar Burton
Bernie Mac
Steve Harvey
Spike Lee
Mario Van Peebles
Michael Clarke Duncan
Mykelti Williamson
Jenifer Lewis
Suzzanne Douglas
Michael Jackson
Angela Bassett
Reg E. Cathey
Giancarlo Esposito
Denise Dowse
Keenen Ivory Wayans
Tom Lister Jr.
Tony Cox
Ice-T
Terrence C. Carson
Prince
Tamara Tunie
Victoria Rowell
Charlie Murphy
Irene Cara
Regina Taylor
Courtney B. Vance
Anne-Marie Johnson
Damon Wayans
Rusty Cundieff
John Henton
Glenn Plummer
Larry Wilmore
Mark Curry
Chandra Currelley-Young
Eddie Murphy
Forest Whitaker
Laurence Fishburne
Dawnn Lewis
Kim Wayans
Kym Whitley
Tim Meadows
Lance Reddick
T'Keyah Crystal Keymáh
Leon Robinson (usually credited as simply Leon)
Kim Coles
Eriq La Salle
Wesley Snipes
Jasmine Guy
Richard Brooks
Tommy Davidson
Michael Beach
Wendell Pierce
Whitney Houston
Isaiah Washington
Vanessa L. Williams
Vanessa Estelle Williams
Darryl M. Bell
Harold Perrineau
Jennifer Beals
D.L. Hughley
Lela Rochon
Harry Lennix
Vivica A. Fox
Lenny Kravitz
Wanda Sykes
Cedric the Entertainer
Holly Robinson Peete
Blair Underwood
