index	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
157	157	8.492856136522342e+17	3079837745.0	0.0	0.0	0.0	0.0			"i've wached #ghostintheshellmovie and this is a really FREAKING GOOD movie 
so theres is a fan art of mine 😎 https://t.co/XbcRMRaIBA"	0.0026	0.0105	0.9869
136	136	8.516545119953551e+17	17687596.0	1.0	0.0	0.0	0.0			Have you seen #ghostintheshellmovie yet? Check out the latest movie review from @akasan and… https://t.co/exvpHNjMBW	0.0088	0.8159	0.1752
91	91	8.904005350475817e+17	60015899.0	0.0	0.0	0.0	0.0			Ghost in the Shell 4K BLU RAY UNBOXING Review https://t.co/54VIPZiEAg #4K #bluray #ParamountStudio #GhostintheShell #GhostintheShellMovie	0.0087	0.9085	0.0828
488	485	7.207798482982707e+17	118902355.0	1.0	0.0	0.0	1.0			Ms Johansson looks like she means business in Ghost in the Shell: https://t.co/QPbcCWZGyQ #GhostInTheShellMovie	0.0033	0.1363	0.8604
607	604	6.569423613904159e+17	253466758.0	1.0	0.0	1.0	1.0			I'm officially boycotting #Ghostintheshellmovie due to #Hollywood #whitewashing yet another #Asian lead. #boycottghostintheshell #racism	0.9373	0.0575	0.0052
444	441	7.21151487464747e+17	42986564.0	0.0	0.0	0.0	0.0			What's wrong with this picture? A hint: the character on the right is named Motoko Kusanagi #GhostintheShellMovie https://t.co/Mb0uG4gyUy	0.5395	0.4479	0.0126
121	121	8.546729073767465e+17	2968012739.0	0.0	0.0	0.0	1.0	8.546718313909658e+17	retweeted	RT @GriefDreams: Even in the future grief dreams are fascinating💫 #ghostintheshell #ghostintheshellmovie #major… https://t.co/f4p9UHzugS	0.0087	0.2088	0.7825
290	287	8.334766017318994e+17	36278034.0	0.0	0.0	0.0	0.0			.@depechemode cover in #GhostInTheShellMovie #EnjoyTheSilence #DMForever #MovieTrailer	0.0053	0.4159	0.5788
114	114	8.677586485161615e+17	8.430756556674744e+17	0.0	0.0	0.0	1.0			We received this #ghostintheshellmovie pop in our BoxyChan Anime box for April 2017. #geisha… https://t.co/el1mJcbkph	0.0095	0.9314	0.0591
284	281	8.368370282307543e+17	2968012739.0	0.0	0.0	0.0	1.0	8.368366369190093e+17	retweeted	"RT @teasertrailer: Ghost in the Shell - motion posters https://t.co/bE5tA1F3SY

#GhostInTheShell #GhostInTheShellMovie #ScarlettJohansson #…"	0.0047	0.9152	0.0801
201	201	8.477991600655442e+17	173841899.0	0.0	0.0	0.0	0.0			IMAX3D🦋 Human's soul, i love it!! More experience in IMAX, Thanks Major forPoster #GhostInTheShell #ghostintheshellmovie #greattheflutemovie https://t.co/qVGmBNUitR	0.0025	0.0108	0.9867
71	71	9.079311648617062e+17	172607245.0	0.0	0.0	0.0	0.0			@Netflix #DeathNotenetflix did a good job anime fans hate but y'all did better than #GhostintheShellMovie to me bringing @ anime to life	0.1313	0.2167	0.6519
603	600	6.634428376446689e+17	2802178075.0	0.0	0.0	0.0	1.0	6.634394598625075e+17	retweeted	RT @GrandCinema: For three screenings only, see the new #GhostInTheShellMovie #anime this month! https://t.co/4sYYLd7LxH	0.0027	0.7213	0.2759
331	328	7.98884953245225e+17	3266287513.0	0.0	0.0	0.0	0.0			Looking forward to seeing this movie 2017. #ghostintheshellmovie #ghostintheshell… https://t.co/mzHr447qHU	0.0018	0.0387	0.9596
135	135	8.518074365917798e+17	1668955963.0	1.0	0.0	0.0	0.0			#ghostintheshellmovie its good as a stand alone movie, my only complaint why was aramake the only one speaking japanese	0.0167	0.0965	0.8868
387	384	7.790389966262764e+17	98007229.0	0.0	1.0	1.0	0.0			Live-Action Ghost in the Shell Film Teased in 5 Videos https://t.co/RRD6SddwGb #ghostintheshellmovie	0.0047	0.8839	0.1114
355	352	7.977952751590113e+17	353665254.0	0.0	0.0	0.0	0.0			"#GhostInTheShellMovie #DreamWorks #film #adaptation #movie

YAASS!

https://t.co/COnzdkeDmU https://t.co/RFkKEdt9UC"	0.0093	0.3798	0.611
