,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
0,444,35,965,97266914.0,0.0,0.0,0.0,0.0,,,Add #Inception To That Apartment's Movie Library of Yours (new DVD releases) http://ow.ly/3hKAU,positive,1,977,2022-11-17T15:16:48.322407Z,2022-11-17T15:16:48.322407Z,2.645
1,436,27,957,20419384.0,0.0,0.0,0.0,0.0,,,"@raeanne23 decaprio, since he was just in #Inception :p",neutral,1,969,2022-11-17T15:16:28.574752Z,2022-11-17T15:16:28.574752Z,2.89
2,218,25,739,23265773.0,0.0,0.0,0.0,0.0,,,Ok I wana go 2 da movies 2 see #Inception also!,positive,1,752,2022-11-17T15:04:23.043688Z,2022-11-17T15:04:23.043688Z,0.975
3,378,5,899,33393404.0,0.0,0.0,0.0,0.0,,,FINALLY seeing #Inception !!,neutral,1,912,2022-11-17T15:13:52.339944Z,2022-11-17T15:13:52.339944Z,0.928
4,108,0,629,115903531.0,0.0,0.0,0.0,0.0,,,Batman 3 News! http://tinyurl.com/yh65d29 #batman #nolan #bale #ledger #thedarkknight #inception #movies,neutral,1,642,2022-11-17T14:56:45.649696Z,2022-11-17T14:56:45.649696Z,1.257
5,193,0,714,22369981.0,0.0,0.0,0.0,0.0,,,Loving the new #Inception trailer on the TV in the UK!!! Can't wait to see it!,positive,1,727,2022-11-17T15:02:57.926270Z,2022-11-17T15:02:57.926270Z,1.615
6,346,9,867,49602272.0,0.0,0.0,0.0,0.0,,,"#inception and its own way to see the world itself. just speechless, nothing else.",positive,1,880,2022-11-17T15:12:16.849187Z,2022-11-17T15:12:16.849187Z,2.652
7,287,22,808,148959345.0,0.0,0.0,0.0,0.0,,,@EKGirl1 hehe #inception was decent. View this insane chick http://bit.ly/omgcrazygirl?=mti0 omg,negative,1,821,2022-11-17T15:08:25.012451Z,2022-11-17T15:08:27.761223Z,4.933
8,128,7,649,23510238.0,0.0,0.0,0.0,0.0,,,"Christopher Nolan Filmed Some of #Inception Using 65mm, Calls 3D “An Interesting Development” | /Film http://viigo.im/2UCJ",neutral,1,662,2022-11-17T14:59:41.513864Z,2022-11-17T14:59:41.513864Z,1.885
9,281,16,802,35813891.0,0.0,0.0,0.0,0.0,,,"Movie tonight with steve and cleary, I'm already expecting #salt to not be as amazing as #inception, but I love me some angelina!",positive,1,815,2022-11-17T15:07:59.859843Z,2022-11-17T15:08:01.429953Z,3.877
10,2,2,523,18484276.0,0.0,0.0,0.0,0.0,,,"Inception teaser trailer looks pretty cool, new film directed by Chris Nolan: http://bit.ly/xSXzp #Inception",positive,1,536,2022-11-17T14:49:41.065411Z,2022-11-17T14:49:41.065411Z,3.027
11,152,31,673,20476318.0,0.0,0.0,0.0,4.0,10324250029.0,retweeted,"RT @io9: Nolan Explains What To Expect From Batman 3, Inception And The New Superman http://io9.com/5490746/ #inception #batman",neutral,1,686,2022-11-17T15:00:54.820390Z,2022-11-17T15:00:54.820390Z,1.383
12,56,20,577,17821424.0,0.0,0.0,0.0,0.0,,,INCEPTION international teaser trailer --&gt;http://tinyurl.com/yayls85 #inception,neutral,1,590,2022-11-17T14:53:46.843463Z,2022-11-17T14:53:46.843463Z,1.583
13,363,26,884,27571702.0,0.0,0.0,0.0,1.0,,,My boss caught me falling asleep at work. I told em I had go help @leodicaprio I had to go deeper! #Inception,neutral,1,897,2022-11-17T15:12:59.975690Z,2022-11-17T15:12:59.975690Z,1.39
14,227,34,748,78075144.0,0.0,0.0,0.0,0.0,,,#Inception look like its gonna be a good movie,positive,1,761,2022-11-17T15:04:50.204360Z,2022-11-17T15:04:50.204360Z,2.012
15,237,8,758,22506911.0,0.0,0.0,0.0,0.0,,,"""You mustn't be afraid to dream a little bigger, darling."" #Inception #Iwanttoseeit #like now",positive,1,771,2022-11-17T15:05:19.076220Z,2022-11-17T15:05:19.975919Z,2.8080000000000003
16,53,17,574,49125896.0,0.0,0.0,0.0,0.0,7168042603.0,replied_to,@zenbitch i felt my mind was boggled even more #inception,neutral,1,587,2022-11-17T14:53:33.847239Z,2022-11-17T14:53:33.847239Z,2.886
17,389,16,910,32357252.0,0.0,0.0,0.0,0.0,,,way deep in #Inception RT @sweeteeAmanda Death by my sista speaking while she's sleeping.,neutral,1,923,2022-11-17T15:14:30.131111Z,2022-11-17T15:14:30.132107Z,1.986
18,332,31,853,17779034.0,0.0,0.0,0.0,0.0,,,Just saw #Inception . One of the best films I watched this year.,positive,1,866,2022-11-17T15:11:07.575156Z,2022-11-17T15:11:07.575156Z,1.588
19,413,4,934,221450215.0,0.0,0.0,0.0,0.0,,,Inception http://bit.ly/eau4cc #Inception,neutral,1,946,2022-11-17T15:15:28.762820Z,2022-11-17T15:15:28.762820Z,0.93
20,194,1,715,30908953.0,0.0,0.0,0.0,0.0,,,#INCEPTION trailer- looks good.,positive,1,728,2022-11-17T15:02:59.832353Z,2022-11-17T15:02:59.832353Z,1.174
21,95,23,616,94150567.0,0.0,0.0,0.0,0.0,,,Trending in films: Golden Globe Award; The Hurt Locker; Inception. http://bit.ly/6wNJYm #goldenglobe #hurtlocker #inception,neutral,1,629,2022-11-17T14:56:12.210563Z,2022-11-17T14:56:12.210563Z,2.619
22,226,33,747,18859285.0,0.0,0.0,0.0,0.0,,,"#inception look raw as shit, but I'm tired of seein leonardo play these paranoid, tweaker ass roles",negative,1,760,2022-11-17T15:04:47.395338Z,2022-11-17T15:04:47.395338Z,3.576
23,30,30,551,20052369.0,0.0,0.0,0.0,0.0,,,"#Chris-Nolan is back http://bit.ly/i5k1j
 #Inception #Trailer",positive,1,564,2022-11-17T14:52:09.638781Z,2022-11-17T14:52:09.638781Z,10.042
24,104,32,625,18056995.0,0.0,0.0,0.0,0.0,,,"RT @rejectnation: Christopher Nolan: Inception is Massive, Bigger Than 'Dark Knight' http://is.gd/6cnWP OMG!!!! #movienews #2010 #Inception",neutral,1,638,2022-11-17T14:56:36.039944Z,2022-11-17T14:56:36.039944Z,1.798
25,437,28,958,81629694.0,0.0,0.0,0.0,0.0,9715598174982144.0,replied_to,@Adrizzie nt a dream.i spinned my tottem n it toppld #Inception #Betterjoke wts evnts bau?heardbt neva watchd.v measurd again.14inches it is,neutral,1,970,2022-11-17T15:16:31.019066Z,2022-11-17T15:16:31.019066Z,1.699
