,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,8441189080,51147897,0,0,0,0,,,Nolan's #Inception second trailer http://www.youtube.com/watch?v=S3XzUYd6nrU&feature=channel
1,1,8437762816,22574835,0,0,0,0,,,"Gee whiz, there's a weird little game on the #inception webpage http://www.yourmindisthesceneofthecrime.com/stage1/"
2,2,8436412507,48933324,0,0,0,0,,,What is the movie #Inception going to be about?
3,3,8431002794,22574835,0,0,0,0,8430388025.0,replied_to,"@brendonconnelly what, you think #Inception will be a ""disgrace""? Don't try and rewrite the laws of probability :-P"
4,4,8418091079,17687566,1,0,0,0,,,tagline of #inception ...sci-fi set within the architecture of human mind .....spooky
5,5,8218173522,23874487,0,0,0,0,,,Leonardo Dicaprio must have Ari Gold as his agent. he is two of the biggest movies this year #ShutterIsland #Inception
6,6,8006600129,98089725,0,0,0,0,,,#Inception is the name of an #action #thriller to be released this year! Check out the fun fan page :) http://ow.ly/YzNo  #movies #films
7,7,7998547388,18056995,0,0,0,0,,,First Official Inception Still Image Released http://bit.ly/5j9hKK #Inception #LeonardoDicaprio #awesome #badass  #WB (TheMovieMash.com)
8,8,7973118657,51603733,1,0,0,0,,,List of movies to watch-&gt;#BookofEli #Legion #ClashoftheTitans #PrinceofPersia #FromParisWithLove #Inception #RobinHood #IronMan2 what else??
9,9,7948575445,18348279,0,0,0,0,,,"Has anyone played the ""Mind Crime"" game on the #Inception site yet? Its pretty sweet -&gt; http://www.yourmindisthesceneofthecrime.com/"
10,10,7897841566,48145135,0,0,0,0,,,#Inception #Christopher_Nolan on 1 Fav Source+1 other like /Film-New Photo: Christopher Nolan’s Inception http://bit.ly/7NW1gK
11,11,7879280582,18056995,0,0,0,0,,,OMG! So badass! RT @NolanFans Check out the very first Inception production still photo http://bit.ly/7MuoIJ #inception #warnerbros
12,12,7873400220,31745982,0,0,0,0,,,Looks cool :) Hope its good !! RT: @DeepakSuresh: #Inception  trailer ...looks promising. http://bit.ly/82XeaZ
13,13,7872298545,17865006,0,0,0,0,,,#Inception  trailer ...looks promising. http://bit.ly/82XeaZ
14,14,7847451152,73733811,0,0,0,0,,,Bigger than #Batman: #ChristopherNolan says #Inception is the biggest challenge I've taken on http://bit.ly/51xgvE #Movies
