,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,0,0,13151894988,23716632,0,0,0,0,,,#inception #FTW RT @RiskyBizBlog Flixster bonus: Top 10 most anticipated movies of the summer http://bit.ly/bhRQ60
1,1,1,1,13137627458,33484270,0,0,0,0,,,this is the trailer http://www.youtube.com/watch?v=RSyQ3K0xnYg #inception
2,2,2,2,13137379577,33484270,0,0,0,0,,,http://bit.ly/july16th2010 see?? see?? this is more reason not to miss (will be) one of this year's best #inception
3,3,3,3,13115599069,77685550,0,0,0,0,,,"Never recreate from memory, always imagine new things. #inception"
4,4,4,4,13108246461,40926968,0,0,0,0,,,#OMFG! #WOW! #Inception´s Poster! I Wanna See It NOW! #DiCaprio #ChristopherNolan #TheDarkKnight #Warner #fb  http://twitpic.com/1jjf7s
5,5,5,5,13096944741,18572249,0,0,0,0,,,"I can't wait to see #Anightmareonelmstreet and #Inception, my love for Freddy, and for Leo!2 of my anticipated films in the next few months!"
6,6,6,6,13088410788,18237661,0,0,0,0,,,Den werd ich mir auch ansehen. RT @aht_blog Great Poster for Christopher Nolan’s Inception http://ahtlink.de/4we #inception
7,7,7,7,13083954651,15118223,0,0,0,0,,,Great Poster for Christopher Nolan’s Inception http://ahtlink.de/4we #inception
8,8,8,8,13079471146,14769611,0,0,0,0,13079323545.0,replied_to,@terrychoong Just wait and see... #Inception is gonna be the movie of the year
9,9,9,9,13064843559,136304297,0,0,0,0,,,http://tinyurl.com/38rr5l5 the new poster of #Inception... cant wait for july 16th...
10,10,10,10,13059166679,96402175,0,0,0,0,,,A new poster for Christopher Nolan's #Inception film is released! Check it out here! The new trailer will be with... http://bit.ly/arJe4W
11,11,11,11,13053038132,19110400,0,0,0,0,,,#INCEPTION Hong Kong Placeholder site is live! http://www.inception.com.hk
12,12,12,12,13048867102,23510238,0,0,0,0,,,New Poster: Christopher Nolan's #Inception - http://b2l.me/rtdt3 (via @slashfilm)
13,13,13,13,13048855893,23510238,0,0,0,0,,,#INCEPTION New Poster Shows Tiny Characters Posing | via @RamasScreen http://bit.ly/cuH2gc
14,14,14,14,13037879846,20575228,0,0,0,0,,,New Poster: Christopher Nolan’s #Inception http://bit.ly/dl94cW
15,15,15,15,13037107163,20559338,0,0,0,0,,,New Inception Poster Revealed via Mind Crime #movies #inception #christophernolan #leonardodicaprio http://bit.ly/c9BPSf
16,16,16,16,13028386294,19563250,0,0,0,0,,,"Why yes, I did see another #inception trailer at the cinema today, and I did almost make a mess in my pants like everyother time i see it!"
17,17,17,17,13000392179,34219990,0,0,0,0,,,"Summer of 2010 via @WearetheMovies. From #IronMan2 to #Shrek4 to #Inception, all there. http://goo.gl/TY89"
18,18,18,18,12953571988,19655813,0,0,0,0,,,Viral campaign for #Inception kicks off with Nolan's video http://ow.ly/1DJuA
19,19,19,19,12944695690,28535855,0,0,0,0,,,can't wait for #Inception : the new Nolan movie !
20,20,20,20,12931533695,20969291,0,0,0,0,,,Damn! feels like #Inception is taking ages to come.and Damn! I don't think it is a worldwide release in July. Come to India to IMAX will u!
21,21,21,21,12916577168,15842499,0,0,0,0,,,#Inception teaser promo: http://www.latinoreview.com/news/nolan-s-inception-research-video-9828
22,22,22,22,12907248553,53005936,0,0,0,0,,,New Film Release: Inception http://tinyurl.com/33bx6re #inception #christophernolan
23,23,23,23,12894438147,43576976,0,0,0,0,,,Is Inception the New Matrix? http://bit.ly/9ZWLNy  #Inception
24,24,24,24,12796920138,96885393,0,0,0,0,,,Your mind. #inception
25,25,25,25,12782345455,95853211,0,0,0,0,,,RT @pizzeriapanucci: Chris Nolan Dream Research inception viral video discoverd. #movies #inception http://bit.ly/9dUQER
26,26,26,26,12780553900,96885393,0,0,0,0,,,Chris Nolan Dream Research inception viral video discoverd.  #movies #inception http://bit.ly/9dUQER
27,27,27,27,12763556034,59257796,0,0,0,0,,,Summer 2010 Movie Guide #IronMan2 #ToyStory3 #ShrekForeverAfter #Salt #RobinHood #Inception #Knight&Day & more -... http://bit.ly/bQR1q2
28,28,28,28,12763555218,20965304,0,0,0,0,,,Summer 2010 Movie Guide #IronMan2 #ToyStory3 #ShrekForeverAfter #Salt #RobinHood #Inception #Knight&Day & more - WSJ.com http://ow.ly/1Czdf
29,29,29,29,12763554772,59257796,0,0,0,0,,,Summer 2010 Movie Guide #IronMan2 #ToyStory3 #ShrekForeverAfter #Salt #RobinHood #Inception #Knight&Day & more - WSJ.com http://ow.ly/1Czde
30,30,30,30,12763553844,94160365,0,0,0,0,,,Summer 2010 Movie Guide #IronMan2 #ToyStory3 #ShrekForeverAfter #Salt #RobinHood #Inception #Knight&Day & more - WSJ.com http://ow.ly/1Czdd
31,31,31,31,12763553470,20965140,0,0,0,0,,,Summer 2010 Movie Guide #IronMan2 #ToyStory3 #ShrekForeverAfter #Salt #RobinHood #Inception #Knight&Day & more - WSJ.com http://ow.ly/1CzbI
32,32,32,32,12729705508,23510238,0,0,0,0,,,"RT @RamasScreen: #INCEPTION New Photo, Dream Researcher Video, New Trailer Attached To IRON MAN 2 http://su.pr/2CFkXp"
33,33,33,33,12716620707,10976002,2,0,0,0,,,OMG. OMFG. http://bit.ly/cUiyvN. Talk about Viral videos! Phew! #inception
34,34,34,34,12676490918,50444709,0,0,0,0,,,Random thought of the day: How am I going to handle Leo & JGL in the same movie? I mean seriously. SO amped for #Inception
35,35,35,35,12653939425,45329993,0,0,0,0,,,#Inception - Four New Promo Pics http://goo.gl/fb/k0sMV #thriller #promotionalphotos #action
36,36,36,36,12649532710,23510238,0,0,0,0,,,RT @RamasScreen: 4 More New #INCEPTION Photos To Rock Your World http://su.pr/9RTQFW
37,37,37,37,12646959650,39712055,0,0,0,0,,,This #Inception movie is turning me into a mordern day #EdgarHoover
38,38,38,38,12606790511,16863932,0,0,0,0,12606378756.0,replied_to,"@BlackSymbiote It's got me baffled to, but in a good ""I want to know more"" way. #Inception"
39,39,39,39,12605676723,24586124,0,0,0,0,,,Oh god!! Two weeks until summer movies begin.  #IronMan2 then  some other stuff then #Inception .  AWESOME can't wait :) :D
40,40,40,40,12603628362,18056995,0,0,0,0,,,More Awesome New Inception Stills Continue to Emerge http://bit.ly/9GLLQL #movienews #filmnews #inception
41,41,41,41,12600109354,60998857,0,0,0,0,,,"RT @screencrave New #Inception Photos With DiCaprio, Levitt, Page http://su.pr/9rkxCm"
42,42,42,42,12598084282,15690179,0,0,0,2,12597694410.0,retweeted,RT @Scannain_com: New on Scannain.com: Inception - New Images from Nolan's next big thing http://bit.ly/8YVWL8 #movies #inception #wtf
43,43,43,43,12597733796,18551797,0,0,0,2,12597694410.0,retweeted,RT @Scannain_com: New on Scannain.com: Inception - New Images from Nolan's next big thing http://bit.ly/8YVWL8 #movies #inception #wtf
44,44,44,44,12597694410,103852807,0,0,0,2,,,New on Scannain.com: Inception - New Images from Nolan's next big thing http://bit.ly/8YVWL8 #movies #inception #wtf
45,45,45,45,12587922538,40551204,0,0,0,0,,,'Your mind is the scene of the crime' #Inception
46,46,46,46,12528008619,46011785,0,0,0,0,,,Sounds like #Inception will be wicked! http://io9.com/5520392/dream+sector-physics-and-inception-space
47,47,47,47,12482916330,22875972,0,0,0,0,,,I am tired of waiting for #Inception.  I need a #Nolan fix/flick.  Might do a Batman Begins/Dark Knight 'marathon' on Wednesday.
48,48,48,48,12436885300,7972852,0,0,0,0,,,"The #Bombay #Stock #Market has managed to #return a staggering 17,400% since its #inception, back in 1979 !! #Amazing"
49,49,49,49,12435212465,17639735,0,0,0,0,,,I wan to see this! http://www.youtube.com/watch?v=RSyQ3K0xnYg&feature=player_embedded #INCEPTION new movie!
50,50,50,50,12420616898,23510238,0,0,0,0,,,New Photos: Christopher Nolan's #Inception http://bit.ly/aUZTvY | via @ThePlaylist
51,51,51,51,12419412700,45117732,0,0,0,0,,,Saw trailer for new #ChristopherNolan film #Inception in cinema - looks incredible. Stars #DiCaprio ... Can't wait to see it
52,52,52,52,12263851493,59371956,0,0,0,0,,,"Not gonna lie, #Inception looks pretty sick."
53,53,53,53,12244724702,18008119,0,0,0,0,,,definitely can't wait #Inception
54,54,54,54,12231388026,21751412,0,0,0,0,,,"""An #idea can transform the world and rewrite all the rules"" - L. DiCaprio #Inception. http://ff.im/-j4yEL"
55,55,55,55,12210449349,91573514,0,0,0,0,,,A look at the possible #Oscar contenders of (gasp!) the summer. http://bit.ly/cSZndl I'm all buzzed up for #Inception already.
56,56,56,56,12130030256,21751412,0,0,0,0,,,"RT @Wawa_Cifer: ""An #idea can transform the world and rewrite all the rules"" Leonardo DiCaprio #Inception. http://ff.im/-iZ76t"
57,57,57,57,12130030014,21751412,0,0,0,0,,,"RT @Wawa_Cifer: ""A single #idea from the human mind can build cities"" Leonardo DiCaprio.....#Inception. http://ff.im/-iZ76u"
58,58,58,58,12113534709,21751412,0,0,0,0,,,"""What's the most resilient parasite?..........an #idea"" Leonardo DiCaprio...#Inception http://ff.im/-iYdVm"
59,59,59,59,12113534573,21751412,0,0,0,0,,,"""A single #idea from the human mind can build cities"" Leonardo DiCaprio.....#Inception. http://ff.im/-iYdVk"
60,60,60,60,12113534478,21751412,0,0,0,0,,,"""An #idea can transform the world and rewrite all the rules"" Leonardo DiCaprio #Inception. http://ff.im/-iYdVj"
61,61,61,61,12086703690,24236439,0,0,0,0,,,Really looking forward to #Inception. Excellent LA Times interview w/ Chr. Nolan http://bit.ly/a9hRmm
62,62,62,62,12063417715,779299,0,0,0,0,,,"Existentialist heist film? Dream thief drugs tycoons, hooks them up to mysterious contraption & steals secrets http://is.gd/bpN5Z #inception"
63,63,63,63,12057535817,45329993,0,0,0,0,,,#Inception - Four New Promo Pics http://goo.gl/fb/w3H9h #thriller #promotionalphotos
64,64,64,64,12051140391,96198985,0,0,0,0,,,Examples of big teaser stills from @totalfilm: http://tinyurl.com/inceptionwow1 and http://tinyurl.com/inceptionwow2 ... WOW. #Inception
65,65,65,65,12050675767,96198985,0,0,0,0,,,"Tease, tease, tease... But I'm loving it. #Inception RT @totalfilm Film news: New Inception images online http://bit.ly/dhiaqJ"
66,66,66,66,12049642988,26540093,0,0,0,0,,,"With #Inception, Christopher Nolan has created the 1st existential heist film &gt; http://cot.ag/axGA1s (via @latimes)"
67,67,67,67,12049547030,18348279,0,0,0,0,,,"Christopher Nolan talks about #Inception in the @latimes, says it will be The Matrix meets Dark City & Ian Fleming -&gt; http://tr.im/VrJq"
68,68,68,68,12021378510,103793451,0,0,0,0,,,I will resist the newest #Inception photos... want the entire movie to be a completely new experience.
69,69,69,69,12019494660,60998857,0,0,0,0,,,fsnewsfeed Chris Nolan's #Inception Rumored to Be Premiering in #Cannes « FirstShowing.net http://bit.ly/divPxl
70,70,70,70,12018120859,20559338,0,0,0,0,,,Christopher Nolan's 'Inception' -- Hollywood's first existential heist film #movies #inception #christophernolan http://bit.ly/dBHEae
71,71,71,71,12016558526,20575228,0,0,0,0,,,Four New Photos: Christopher Nolan’s #Inception http://bit.ly/925aD3
72,72,72,72,12008315785,23510238,0,0,0,0,,,Christopher Nolan's #Inception -- Hollywood's first existential heist film | Hero Complex | @LATherocomplex http://bit.ly/d4JzGA
73,73,73,73,12008283303,23510238,0,0,0,0,,,#INCEPTION Brand New Photos | @RamasScreen http://bit.ly/98VOmx
74,74,74,74,12002610461,42688015,0,0,0,0,,,I was so dissapointed that I didn't see #Inception movie trailer when I went to see #ClashofTheTitans last night
75,75,75,75,12000450100,54449164,0,0,0,0,,,Inception will be AWESOME! http://www.nolanfans.com/wordpress/wp-content/uploads/2010/04/april_inception_3.jpg #Inception
76,76,76,76,11914070099,20575228,0,0,0,0,,,"Chris Nolan's #Inception Rumored to Be Premiering in #Cannes, alongside Ridley Scott's #RobinHood. http://bit.ly/9Jq2mu"
77,77,77,77,11906964205,19563250,0,0,0,0,,,I bang on about this years biggest films: #inception & #ironman2 in my latest blog! http://spideyellis.tumblr.com/
78,78,78,78,11863685246,10285632,0,0,0,0,,,"Chris Nolan's #Inception is pretty short on info, trailers and behind-the-scenes. Less is more. Great strategy."
79,79,79,79,11822125210,45993461,0,0,0,0,,,"Nolan's #INCEPTION film, in the same vein as 13th Floor, The Matrix, & Dark City""  I liked all those movies! http://digg.com/u1SWUi"
80,80,80,80,11817394390,14423451,0,0,0,0,,,Here's the trailer: http://www.youtube.com/watch?v=7DwuVKfjctk #Inception #cinema #Hollywood
81,81,81,81,11764843291,76597586,0,0,0,0,,,the #inception trailer was awesome but i have no idea what the hell it's all about...
82,82,82,82,11764782574,19177006,0,0,0,0,,,i want a PASIV Device: http://bit.ly/db2bps #inception
83,83,83,83,11723812490,29829024,0,0,0,0,,,"Inception - ""My Mind Is The Scene Of The Crime"" #Inception  http://goo.gl/OFEo"
84,84,84,84,11713953849,101657286,0,0,0,0,,,#INCEPTION just crazy to see it! :)
85,85,85,85,11708164974,96198985,0,0,0,0,,,Thanks to @HitFixGregory: RT @hitfix Movie Power Rankings: Inception uses 3 1/2 minutes to hit No. 1. http://bit.ly/cGPfhf ( #Inception )
86,86,86,86,11707990344,96198985,0,0,0,0,,,"Anyone who hasn't seen it yet, see (and love) the #Inception trailer here: http://inceptionmovie.warnerbros.com/"
87,87,87,87,11707922974,96198985,0,0,0,0,,,"Reasons TO love #Inception: Nolan, DiCaprio, Gordon-Levitt, Cotillard, Caine, Murphy... the trailer, the tag line...let's see - the TRAILER."
88,88,88,88,11707802176,96198985,0,0,0,0,,,"Having just watched and re-watched the #Inception trailer(s), I'm trying to find a reason I may NOT love this film. Any takers?"
89,89,89,89,11704115413,90201073,0,0,0,0,,,#inception by Christopher Nolan - trailers http://bit.ly/ayixDB and viral site http://bit.ly/cuS7Dt - looking forward to this!
90,90,90,90,11703940942,23510238,0,0,0,0,,,RT @RamasScreen: #INCEPTION New Viral Site And More About What's Going On http://su.pr/AD98GF
91,91,91,91,11694975561,22789086,0,0,0,0,,,New #Inception Viral Site Unleashed | MovieWeb http://ow.ly/1v3Ql
92,92,92,92,11690397491,17729015,0,0,0,0,,,#inception just keeps looking cooler by the minute.
93,93,93,93,11683864957,48145135,0,0,0,0,,,#Inception #Christopher_Nolan on 1 Fav Source+5 others like /Film-Christopher Nolan Talks Inception http://bit.ly/9JjDgT
94,94,94,94,11680446541,18676981,0,0,0,0,,,Christopher Nolan is red and green colorblind. #DarkKnight #Inception
95,95,95,95,11676961779,83955683,0,0,0,0,,,So I don't tend to study for school tests but I'm studying this PASIV device as if my life depended on it. #Inception
96,96,96,96,11667018731,20575228,0,0,0,0,,,Finally! RT @slashfilmnews: Christopher Nolan Talks #Inception http://goo.gl/fb/xuXBu
97,97,97,97,11662883573,108066915,0,0,0,0,,,Pleased to see #Inception trailer in the cinema today. Like how it creates intrigue without giving anything away or making too much sense.
98,98,98,98,11660628247,26990890,0,0,0,0,,,For those of you who want more #inception and #Nolan http://bit.ly/do9AHP
99,99,99,99,11657096130,22520090,0,0,0,0,,,@GtSnoRacer I think I'm liking this whole viral campaign @wbpictures has going on #inception http://bit.ly/aog4Vk and http://bit.ly/akNcZs
100,100,100,100,11654645306,23510238,0,0,0,0,,,RT @slashfilmnews: Christopher Nolan Talks #Inception http://goo.gl/fb/xuXBu
101,101,101,101,11651103275,18768137,0,0,0,1,11648782781.0,retweeted,RT @io9: Is This Christopher Nolan's Dream-Invasion Device? http://io9.com/5509482/ #christophernolan #inception
102,102,102,102,11650242577,26008453,0,0,0,0,,,http://www.youtube.com/watch?v=S3XzUYd6nrU have u seen that? it looks very good! #inception
103,103,103,103,11650030973,78577041,0,0,0,0,,,hope #nolan has sum good cards in his sleeves (read #inception)...waiting eagerly 4 its release...
104,104,104,104,11649294922,17938792,0,0,0,1,,,Hey. Hey! Pssst. Christopher Nolan? More like Christopher Nerdlan! #inception #leonardodicaprio #totalnerds
105,105,105,105,11648782781,13215132,0,0,0,1,,,Is This Christopher Nolan's Dream-Invasion Device? http://io9.com/5509482/ #christophernolan #inception
106,106,106,106,11632077425,88824652,0,0,0,0,,,"IGN's #WonderCon updates on #PrinceOfPersia, #ToyStory3, #ResidentEvilAfterlife, #Inception, & #MissionImpossible4: http://go.ign.com/9MISkc"
107,107,107,107,11596053354,78445602,0,0,0,6,11562753302.0,retweeted,RT @io9: Christopher Nolan Pulls Back The Curtain On New Movie &quot;Inception&quot; http://io9.com/5508968/ #sneakpeek #inception
108,108,108,108,11587967839,59535906,0,0,0,0,,,A nice piece on Inception from the LA Times. Curiosity & excitement continue to grow. http://bit.ly/dnXe8n #ChristopherNolan #inception
109,109,109,109,11582321000,103382257,0,0,0,6,11562753302.0,retweeted,RT @io9: Christopher Nolan Pulls Back The Curtain On New Movie &quot;Inception&quot; http://io9.com/5508968/ #sneakpeek #inception
110,110,110,110,11581964779,15808814,0,0,0,0,,,"Christopher Nolan describes #Inception as a ""a heist film with depth...with dream hackers"" = Heat times Paprika. YES: http://is.gd/bdRko"
111,111,111,111,11581960701,21133530,0,0,0,0,11578091097.0,replied_to,[NB] @navmahay http://bit.ly/cXu8iP Minor spoilery parts you can skip but otherwise good article. #Inception
112,112,112,112,11580103526,66332312,0,0,0,0,,,"Christopher Nolan Pulls Back The Curtain On New Movie ""Inception"" http://io9.com/5508968/ #sneakpeek #inception (via @io9)"
113,113,113,113,11571747826,23510238,0,0,0,0,,,"RT @io9 Christopher Nolan Pulls Back The Curtain On New Movie ""Inception"" - #Inception - io9 http://bit.ly/c0cA9g"
114,114,114,114,11564934845,28439141,0,0,0,6,11562753302.0,retweeted,RT @io9: Christopher Nolan Pulls Back The Curtain On New Movie &quot;Inception&quot; http://io9.com/5508968/ #sneakpeek #inception
