Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
0	0	3658354553.0	19750127.0	0.0	0.0	0.0	0.0			Christopher's Nolan's #Inception http://bit.ly/RtOKA	0.006	0.9207	0.0733
1	1	3653916562.0	858201.0	0.0	0.0	0.0	0.0			"""Your Mind Is the Scene of the Crime"" is the best tagline of the 21st century. #inception #nolan #dicaprio"	0.0233	0.153	0.8237
2	2	3646168303.0	18484276.0	0.0	0.0	0.0	0.0			Inception teaser trailer looks pretty cool, new film directed by Chris Nolan: http://bit.ly/xSXzp #Inception	0.0013	0.0205	0.9781
3	3	3644441819.0	15286587.0	0.0	0.0	0.0	0.0			INCEPTION trailer is the coolest I've seen this year. christopher nolan can do no wrong! #inception #christophernolan (via @jordanhare)	0.0021	0.012	0.9859
4	4	3625697716.0	48654038.0	0.0	0.0	0.0	0.0			Finally a movie that has the potential to outdo the Matrix Trilogy. #Inception http://bit.ly/4kN1ZY	0.0022	0.0694	0.9285
5	5	3583467106.0	24988385.0	0.0	0.0	0.0	0.0			"Teaser for Chris Nolan's Inception: http://bit.ly/1axrzQ
 #inception"	0.0047	0.925	0.0704
6	6	3583408089.0	20652138.0	0.0	0.0	0.0	0.0			"Yes please! http://bit.ly/1axrzQ
 #inception"	0.0026	0.0807	0.9168
7	7	3568841957.0	12762882.0	0.0	0.0	0.0	0.0			"Invited by PR group to watch ""new unseen"" trailer earlier this evening. Problem is I watched it on a Flemish site 48 hrs earlier. #Inception"	0.2038	0.7505	0.0457
8	8	3564713206.0	15783849.0	0.0	0.0	0.0	0.0	3508664757.0	replied_to	@AShakur Damn #Inception looks awesome! Hans Zimmer has one hell of a gift with what hits the ear!	0.004	0.0103	0.9858
9	9	3563326412.0	24691102.0	0.0	0.0	0.0	0.0			New trailer: #Inception http://www.tribute.ca/trailers/Inception/17455	0.0048	0.7817	0.2135
10	10	3563270598.0	60082074.0	0.0	0.0	0.0	0.0			#Inception trailer is everything a teaser trailer should be	0.0056	0.0759	0.9185
11	11	3562490435.0	14134681.0	0.0	0.0	0.0	0.0			"My new anxiety problem: http://bit.ly/3eaKO
#Inception trailer."	0.8652	0.1209	0.0139
12	12	3562236015.0	9791702.0	1.0	0.0	0.0	0.0			Chris Nolan's #Inception is so mind frakingly awesome. The trailer rocks.!!!	0.004	0.0091	0.9869
13	13	3559408197.0	7746382.0	0.0	0.0	0.0	0.0			Sorry Avatar fans, but #Inception is the movie I'm most looking forward to.   http://bit.ly/oWSFe	0.0134	0.084	0.9026
