index	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive	date
7760	2108	2108	2108	1154667918929608704	52003200	0	0	0	9461	1.154437167034327e+18	retweeted	"RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a 10"" Super Sized, Glow-in-the-Dark Ursula Pop! #TheLittleMermaid https:/…"	0.005	0.3155	0.6795	2019-07-26
152991	6172	6172	6172	1176679486269612032	2710612235	0	0	0	7308	1.1766782097584005e+18	retweeted	"RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a 10” Ursula Pop!      
#Funko #Pop #Disney #TheLittleMermaid https://t.c…"	0.0047	0.3936	0.6017	2019-09-25
345363	62659	62659	62659	1571665139346153472	4715862924	0	0	0	1	1.571664863859974e+18	retweeted	"RT @TatianaCortez25: Going to watch another Disney's Princess movie called The Little Mermaid, so wish me luck!
#DisneyPrincess #TheLittleM…"	0.0016	0.0512	0.9472	2022-09-19
302588	19884	19884	19884	1574579706162077696	1522045748325494784	0	0	0	1	1.5745667465432474e+18	retweeted	"RT @LiamWeb97294743: THOSE THAT YOU CALL ""THE RACISTS"" ARE TAKING DOWN THE ACTUAL RACE HATE FROM USA NOT WITH VIOLENCE BUT WITH HIS CHOICE…"	0.7827	0.2064	0.0109	2022-09-27
375266	92562	92562	92562	1570916998250659841	1248707011191148553	0	0	0	14604	1.5692952435557663e+18	retweeted	"RT @MindMelodyWorld: Ariel 💜💚🧜🏻‍♀️ 

#Fanart #TheLittleMermaid https://t.co/YPJ5EXZReu"	0.0061	0.2048	0.7891	2022-09-16
154396	7577	7577	7577	1173927363278770176	4855546835	0	0	0	315	1.1738174314137764e+18	retweeted	RT @fablepaint: #TheLittleMermaid Ursula, but it's @lizzo https://t.co/PQcgDi7V6J	0.0132	0.9411	0.0458	2019-09-17
327617	44913	44913	44913	1572166300486729728	1571410503343411200	0	0	0	7285	1.5720424980712202e+18	retweeted	"RT @_ladyshalirin: -Mom, put down the brush
It's hopeless..
-Oh
You look beautiful
#TheLittleMermaid #Disney https://t.co/dLFHsbTmSz"	0.1174	0.408	0.4746	2022-09-20
321672	38968	38968	38968	1572351797200551937	1563293657163530243	0	0	0	7285	1.5720424980712202e+18	retweeted	"RT @_ladyshalirin: -Mom, put down the brush
It's hopeless..
-Oh
You look beautiful
#TheLittleMermaid #Disney https://t.co/dLFHsbTmSz"	0.1174	0.408	0.4746	2022-09-20
338390	55686	55686	55686	1571962690205257728	1281686730018631680	2	0	0	0			"Truth be told if BLACK PANTHER was to star a white man as the main lead,the black community definitely wouldn’t let things slide by. In conclusion,we are all selfish.
#TheLittleMermaid"	0.827	0.1617	0.0113	2022-09-19
324979	42275	42275	42275	1572239090484928513	1117137975907880960	0	0	0	11930	1.5719594903959347e+18	retweeted	"RT @likelihood_art: Ariel 🫧🧜🏾‍♀️🐠 ✨
Oh I can’t wait for this movie to come out! :D

#Disney #TheLittleMermaid https://t.co/rLlw9mW9FQ"	0.0026	0.0148	0.9825	2022-09-20
392542	109838	109838	109838	1570630373956255746	1329634647710588928	0	0	0	1812	1.5702697680824156e+18	retweeted	RT @TheKempire: Wait until we break all kinds of records to support Halle! They will see just how powerful we really are! #TheLittleMermaid…	0.0033	0.0434	0.9533	2022-09-16
252050	1483	1483	1483	1446667963013079040	865504153107185664	0	0	0	331	1.4465365244772106e+18	retweeted	"RT @Ripushko: I remembered that Ursula's prototype was a drag queen Х))
#genderbend #thelittlemermaid #Disney https://t.co/8yoG0Sy8sB"	0.0385	0.8858	0.0758	2021-10-09
165085	309	309	309	1189222719046541313	57210620	0	0	0	6	1.1892168794050888e+18	retweeted	RT @DLifestylers: New Disney Princess luggage from @hottopic #disneyprincess #ariel #thelittlemermaid #cinderella #sleepingbeauty #disneylu…	0.004	0.551	0.445	2019-10-29
345941	63237	63237	63237	1571642448358555650	1388360567275102210	0	0	0	5093	1.5715453439046085e+18	retweeted	"RT @_ladyshalirin: I  know you're looking forward to this dress!
My Princess🤲
#TheLittleMermaid #Disney https://t.co/NjLmWr6Ulz"	0.0023	0.0184	0.9793	2022-09-18
45559	39907	39907	39907	1148893430980009984	318762999	0	0	0	0	1.1480792593085316e+18	quoted	🧜🏾‍♀️ #TheLittleMermaid was dope when I first seen it as a child and I am now STOKED to see this rendition https://t.co/XJ05jeU9SD	0.0035	0.0179	0.9787	2019-07-10
