,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,1399463646678466564,2920421026,22,0,1,5,,,"31st mermaid for Mermay

Ariel from The Little Mermaid in Pokemon GBC style

Making this the last mermaid of the month 🙌
#pixelart #mermay #ドット絵 #픽셀아트 #ariel #thelittlemermaid https://t.co/xXQwARCp0C"
1,1399457142881521665,701373362417876992,0,0,0,10,1399420895471575050,retweeted,"RT @ArtsyLizzy82: #TheLittleMermaid screencap redraw 💜🐚
One last drawing for #mermay2021 

#mermay #digitalart #Disney #fanart #mermaid htt…"
2,1399455527759982600,2737303087,0,0,0,9,1398309617126490116,retweeted,"RT @LaradisCraft: My #mermay2021 Day 28
#mermay #mermaid #obsessed #thelittlemermaid #art #drawing #digitalart #girlsinanimation #illustrat…"
3,1399453825338052608,1252732704573075459,0,0,0,10,1399420895471575050,retweeted,"RT @ArtsyLizzy82: #TheLittleMermaid screencap redraw 💜🐚
One last drawing for #mermay2021 

#mermay #digitalart #Disney #fanart #mermaid htt…"
4,1399447367909322753,2181736958,0,0,0,0,,,"Can’t have MerMay without Ariel, so here’s a quick colored pencil sketch. :)
.
.
.
#ericmatos #emscribbles #mermay2021 #pinup #cute #disney #mermay #thelittlemermaid #sketch #doodle #coloredpencils #procreate #digitalart https://t.co/IRCUKBhQ0Y"
5,1399445203434577921,1164522410,0,0,0,3,1399409147871780864,retweeted,"RT @show_pwny: He’s not Scuttle, but this duck is definitely trying to figure out what is different about his mermaid friend. #TheLittleMer…"
6,1399444129965297682,1353394077010685957,0,0,0,10,1399420895471575050,retweeted,"RT @ArtsyLizzy82: #TheLittleMermaid screencap redraw 💜🐚
One last drawing for #mermay2021 

#mermay #digitalart #Disney #fanart #mermaid htt…"
7,1399440009615323144,1382814876293283840,0,0,0,0,,,"I couldn't resist, and I have gave my contribution of levi mermaid, plus bonus biker mermaid!🤣
#atradolls  #goodsmilecompany #shinjekinokyojin #AOT #AttackOnTitan #leviackerman #capricorn #nermaid #thelittlemermaid #eruri
https://t.co/BGXsRTzvFt"
8,1399438553059368960,709819746,0,0,0,490,1397321261362016256,retweeted,"RT @Variety: Samuel E. Wright, the actor who voiced Sebastian in #TheLittleMermaid, has died at 74. https://t.co/9gvje7PbdG https://t.co/8K…"
9,1399435103143698439,694649595775684608,0,0,0,1,1399433187143557126,retweeted,"RT @queen_skelly: https://t.co/xC6wQyCREl RIP Samuel E. Wright | November 20th, 1946 - May 24th, 2021 @youtube @disney @disneyland #youtube…"
