,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,1488266923905216516,1357737533749223427,1,0,2,0,,,Best Fantasy Movie (Round 1) *link for IMDB in the comments #UncleBoonmeeWhoCanRecallHisPastLives vs. #TheLittleMermaid
1,1,1488255811122081793,1277605230365093888,2,0,0,0,,,"https://t.co/Lw5xrAr0aX
Game Name: Ariel The Rebirth Of Lovelorn
Game Company: babygamescom
#ergameonline #games  #gamer  #gaming  #game #ariel #thelittlemermaid #littlemermaid #disneyprincess #rebirth #darkknightrises #wonderwomen #redhood"
2,2,1488234979817623561,1188145800532111360,0,0,0,501,1.4471551643355177e+18,retweeted,"RT @Ripushko: Mermaid things...
👅🦈🌶️
#rule34fanart #thelittlemermaid #genderbend #nsfw https://t.co/ekI5EgljPV"
3,3,1488219242814136321,1283516462842470401,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
4,4,1488212364524589057,1452209317667553289,0,0,0,1563,1.3510835615379743e+18,retweeted,RT @JoNSFW1: Making gif is super funny 🤣 #gaytoons #bara #baraart #cartoon #gay #porn #Disney #disneyprince #nakedboys #eric #TheLittleMerm…
5,5,1488212230571233292,724407094770847744,0,0,0,4,1.4881962148687667e+18,retweeted,RT @MrLoganMusic: James A Garfield Musical Theatre is proud to present Disney's The Little Mermaid. Tickets will be available in March. Sav…
6,6,1488208958104174592,1349792279171538945,0,0,0,3063,1.411227076703654e+18,retweeted,"RT @seeu_cosplay: #TheLittleMermaid 
#Ariel
#DisneyPrincess 
🧜‍♀️ 

Out of the sea🐚🐟

Wish I could be❤️

Part of that world～ https://t.co/c…"
7,7,1488204882825801732,26672927,0,0,0,0,,,"Random shot from a fun little photo shoot! Can't believe this was 6 years ago! 😱 Hoping to go to a convention or two this year, maybe next year, depending on if I feel up to it at the time. 🤷‍♀️ I do miss dressing up though! 🥰
#Ursula #TheLittleMermaid https://t.co/wAF26jFZo4"
8,8,1488196214868766722,708413257514663936,9,0,0,4,,,James A Garfield Musical Theatre is proud to present Disney's The Little Mermaid. Tickets will be available in March. Save the date and come support our theatre students! #1JAG #JAGArts #TheLittleMermaid #Musicals https://t.co/FVV0osGNPD
9,9,1488164903932370952,1447220767884816389,0,0,0,129,1.2645732103199007e+18,retweeted,"RT @juliaschlax_art: mermay 24: #treasure

Tidy and Ariel would be good friends.😋

Tidy (The little Trashmaid) is @s0s2's original characte…"
10,10,1488163453898575882,36139680,7,1,4,1,,,"🤣 This is Hilarious!!! 🤍🧜🏼‍♀️☃️ 
#MermaidMonday ❄️ #ArcticMermaid #Olaf ⛄️ #TheLittleMermaid #LuvIt https://t.co/QchUWPEAZ2"
11,11,1488156444788928515,851411878886522880,1,0,0,1,1.4879836476091597e+18,quoted,"I would it say, I'm going to Isabela Madrigal and Ariel. 🌹🌸🧜‍♀️

#DisneyDreamDate #Ariel #IsabelaMadrigal #Encanto #TheLittleMermaid #ValentineMonth https://t.co/ToYzOtAPGJ https://t.co/tnsgAyFuLs"
12,12,1488156393785942017,413355709,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
13,13,1488125048498044930,2476266410,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
14,14,1488111861191032832,1417141817355771906,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
15,15,1488104880057245697,4715862924,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
16,16,1488102994335969280,1065741888907591681,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
17,17,1488078581834010626,1347839503046635520,2,0,0,0,,,"Ariel Pin Design for Sale @ USD 200 🧜🏻‍♀️👑
Please DM to purchase ❤️

#Disney #Princess #DisneyPrincess #TheLittleMermaid #Ariel #Mermaid #UltimatePrincessCelebration #PinDesign #PinCollector #Commission #CommercialCommission #DesignForSale #Giucchi #Drawings #GiucchiDraws https://t.co/Mh7rWnXDQC"
18,18,1488045187968507908,885153404720488448,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
19,19,1488042487197634560,963599468573614080,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
20,20,1488040996453556229,1060667233376985090,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
21,21,1488040499915247623,2720453617,0,0,0,19,1.246174404507308e+18,retweeted,"RT @art_bymariss: “You’re the one, the one I’ve been looking for!”
.
.
Disney Reylo part 2🐠💖
.
.
#reylo #bensolo #reystarwars #reyloart #ad…"
22,22,1488038848621727747,1282510154450104322,0,0,0,0,,,"Not all princess are the same 🖤✨
Shop now! 
#tattooart #mermaid #ariel
#TheLittleMermaid 
#tattooariel #tattoodesign
#inkedcovergirl
#princess #RedHeadsAreBeautiful
#shopping
https://t.co/frjHzmunBn"
23,23,1487994103434461185,766745652470640640,0,0,0,486,1.4715480482622382e+18,retweeted,"RT @Ripushko: How do you like this reverse? 
#genderbend + role reversal :&gt;

#thelittlemermaid #yaoiart #merMan https://t.co/64rnX8Zwc4"
24,24,1487987845071622152,694649595775684608,0,0,0,1,1.4879854181213348e+18,retweeted,"RT @positive4sure: Check out Disney's The Little Mermaid: Ariel Doll by Tyco (1992) NIB,Toy,Free Shipping https://t.co/Taj2PU05Pw @eBay
#Ac…"
25,25,1487985418121334784,1020548986116091909,1,0,0,1,,,"Check out Disney's The Little Mermaid: Ariel Doll by Tyco (1992) NIB,Toy,Free Shipping https://t.co/Taj2PU05Pw @eBay
#Actionfigures #dolls #toy #ariel #fundraiser #disney #toys #thelittlemermaid #disneyworld"
26,26,1487960939664187398,1313199085277663233,1,0,0,0,,,"I truly like Chef Louis from Disney's The Little Mermaid, seeing Chef Louis has crazy faces during the kitchen sequence with the call ""Les Poissons"" and Chief Louis attacks Sebastian the crab. #TheLittleMermaid https://t.co/dfmxAW2dkI"
27,27,1487958032407531520,1411434082802802689,46,0,1,8,,,I may or may not be starting a Disney Princess series… again. #WIP #tlm #thelittlemermaid #disney #disneyprincess #fanart #procreate https://t.co/AbAqDsYBBx
28,28,1487921926903414786,2474229242,0,0,0,3,1.197511639672742e+18,retweeted,"RT @kaorimizunya: Happy 30th Anniversary #Ariel #TheLittleMermaid 
#disneyfan #fanart #disneyfanart #PrincessAriel #digitalart  #illustrati…"
29,29,1487919218624503811,2474229242,0,0,0,918,1.4842740241799741e+18,retweeted,"RT @Hallsth_Eien: Sea Spectacle!🌊🐚⭐️

#KingdomHearts #Sora #Ariel #thelittlemermaid https://t.co/CmyAuLzfJp"
30,30,1487887710954176515,1073653260454649856,0,0,0,1,1.4182416090874757e+18,retweeted,"RT @TheUnboxerrs24: Join the fun as we review the Disney Princess Comics Royal Rivals Collector Set, so cute!
https://t.co/ryFO80VjIp

Be s…"
31,31,1487860859326107651,1255643204831129602,0,0,0,18760,1.1466344031305523e+18,retweeted,RT @alicexz: Warm-up painting because I am SO INCREDIBLY HERE FOR IT #TheLittleMermaid @chloexhalle https://t.co/kWom3RE9tq
32,32,1487854770656366597,828379489793081344,0,0,0,886,1.4672118978335007e+18,retweeted,"RT @Ripushko: Not even close X)) 800 again?

This is probably my favorite page because of the top frames Х)))

#nsfwcomic #thelittlemermaid…"
33,33,1487854241184206848,932822742684008448,0,0,0,234,1.1908748633694577e+18,retweeted,RT @schizoid_art: Disney daddies. #Triton #Zeus #TheLittleMermaid #Hercules #DILF #Bara https://t.co/MybVpfofrb
34,34,1487828469962661895,392638801,3,0,2,0,,,"#Lego #LegoDisney #thelittlemermaid so, The Little Mermaid 🧜‍♀️ is my all time favourite #Disney animation. So is it therefore acceptable to purchase this amazing new Lego set at an age that it’s clearly not aimed for ……? https://t.co/VewaA7wYVT"
35,35,1487807539731304456,2261769314,0,0,0,1,1.4877942276690862e+18,retweeted,RT @BrickFanatics: LEGO Disney is heading under the sea later this year with a massive model for The Little Mermaid as part of two sets rev…
36,36,1487800555112218627,4228094679,0,0,0,0,,,"The Little Mermaid (1989) - Read 640 Movie Reviews 
Link: https://t.co/y2CW88Ej9c 
#TheLittleMermaid #MovieReviews"
37,37,1487794227669086211,513627393,4,1,0,1,,,"LEGO Disney is heading under the sea later this year with a massive model for The Little Mermaid as part of two sets revealed by an online retailer.

https://t.co/iYF11zvAe5

#LEGO #LEGODisney #TheLittleMermaid https://t.co/2GIru94CNi"
38,38,1487766895898025986,721405288969015297,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…"
39,39,1487681791657799681,1486628191565279233,0,0,0,1563,1.3510835615379743e+18,retweeted,RT @JoNSFW1: Making gif is super funny 🤣 #gaytoons #bara #baraart #cartoon #gay #porn #Disney #disneyprince #nakedboys #eric #TheLittleMerm…
40,40,1487679777242812421,751228008258830336,0,0,0,918,1.4842740241799741e+18,retweeted,"RT @Hallsth_Eien: Sea Spectacle!🌊🐚⭐️

#KingdomHearts #Sora #Ariel #thelittlemermaid https://t.co/CmyAuLzfJp"
41,41,1487631545091620868,1148203963239419904,0,0,0,918,1.4842740241799741e+18,retweeted,"RT @Hallsth_Eien: Sea Spectacle!🌊🐚⭐️

#KingdomHearts #Sora #Ariel #thelittlemermaid https://t.co/CmyAuLzfJp"
42,42,1487626092617814024,1377280600218959875,0,0,0,918,1.4842740241799741e+18,retweeted,"RT @Hallsth_Eien: Sea Spectacle!🌊🐚⭐️

#KingdomHearts #Sora #Ariel #thelittlemermaid https://t.co/CmyAuLzfJp"
43,43,1487625235092291586,2181412062,0,0,0,283,1.482183045197312e+18,retweeted,RT @veganimegirl: It's 3:50am..I will hate this post when I wake up. #sailormoon #thelittlemermaid Good night 😴 https://t.co/LWUTSpmUcp
44,44,1487613632452120581,4715862924,0,0,0,4,1.4875676425547776e+18,retweeted,RT @SeriesTangled: @disneyplus should have a collection with all their animated movies that had series. Like #TangledTheSeries #RapunzelsTa…
45,45,1487613483524911104,1195124563186720774,0,0,0,4,1.4875676425547776e+18,retweeted,RT @SeriesTangled: @disneyplus should have a collection with all their animated movies that had series. Like #TangledTheSeries #RapunzelsTa…
46,46,1487603284600778752,887524492892700672,9,0,0,0,,,"done doing sample art for live commission.this is the little mermaid from SINoALICE. umm actually there no ""little"" bout her except this one. i called her ""big mermaid"" i draw food stuffs too bcoz i love foods wahahaha
#commissionsopen #thelittlemermaid #sinoalice #traditionalart https://t.co/fq4fE5EaSJ"
47,47,1487586271157383169,873353268780560384,0,0,0,0,,,Halle Bailey Shows Off Her Little Mermaid Skills https://t.co/ET0Id0AJXB #live-action #TheLittleMermaid #WaltDisneyPictures
48,48,1487572754555564032,859274176216973312,0,0,0,4,1.4875676425547776e+18,retweeted,RT @SeriesTangled: @disneyplus should have a collection with all their animated movies that had series. Like #TangledTheSeries #RapunzelsTa…
49,49,1487567642554777615,1120044960840081408,12,0,1,4,,,"@disneyplus should have a collection with all their animated movies that had series. Like #TangledTheSeries #RapunzelsTangledAdventure 
#TheLittleMermaid
#Aladdin  #Tiana #Moana #Hercules #Tarzan #Bighero6
Can you think of any #Disney movies turned into series that I didn't list? https://t.co/EzTqKqilGp"
50,50,1487567562225373188,1202663287919394817,0,0,0,0,,,The Three-Dimensional Reinvention of #Fantasy Movie Villains https://t.co/2QaUWQSO8o #disney #maleficent #thelittlemermaid
51,51,1487563331439558658,1459811380694036485,0,0,0,331,1.4465365244772106e+18,retweeted,"RT @Ripushko: I remembered that Ursula's prototype was a drag queen Х))
#genderbend #thelittlemermaid #Disney https://t.co/8yoG0Sy8sB"
