,id
0,1300577356952662016
1,1300566667580276738
2,1300532657718255618
3,1300529467845156865
4,1300528420758011904
5,1300524459229507584
6,1300516254382526466
7,1300513367988338692
8,1300510888475074560
9,1300506200904171533
10,1300477089112420352
11,1300475775963942913
12,1300474945646944256
13,1300474407173922818
14,1300473487950098432
15,1300445544989351937
16,1300440970916491265
17,1300429076423868416
18,1300425661576818688
19,1300412851606245376
20,1300407592057999362
21,1300399279509581824
22,1300377853784018946
23,1300358180703211522
24,1300338817107456000
25,1300338587507011584
26,1300337500456652802
27,1300337362388561920
28,1300330750856900609
29,1300315070216499201
30,1300311616827793409
31,1300307839546798080
32,1300306687182737409
33,1300300814972485633
34,1300300814943166464
35,1300300556544557056
36,1300279944518553603
37,1300278894680047618
38,1300257042121265153
39,1300248963858206720
40,1300247113352335360
41,1300224418548011008
42,1300204178933821440
43,1300203919801450496
44,1300191942316298245
45,1300191596584087553
46,1300191496847622147
47,1300190458241601537
48,1300189344343494656
49,1300188839340892160
50,1300187086646120449
51,1300183832218525698
52,1300183417145917445
53,1300182266338041862
54,1300181893053284353
55,1300158766462238722
56,1300130478910046210
57,1300129987316649984
58,1300126165542342656
59,1300123755264585738
60,1300121912220282882
61,1300120921991151618
62,1300117443613020167
63,1300117205334491144
64,1300116429128294400
65,1300040393053138944
66,1300040383381078019
67,1300031721539338240
68,1300031661321736194
69,1299948790925815816
70,1299939790775779333
71,1299927875458609152
72,1299926872810090496
73,1299908493051179010
74,1299898919132987392
75,1299877716179726337
76,1299871727804198914
77,1299871685668208640
78,1299865002296389633
79,1299833470441709568
80,1299817947934994432
81,1299813683535716355
82,1299812995363635203
83,1299804101686046727
84,1299800359309922304
85,1299769485814050817
86,1299761065396445193
87,1299760943258390528
88,1299754328756977664
89,1299752175002939392
90,1299749238017003522
91,1299747388588871681
92,1299744410842914816
93,1299722629746696194
94,1299718807183917056
95,1299716391709310976
96,1299715295976787969
97,1299713473438457857
98,1299713058353418241
99,1299687734282518529
100,1299677073427107845
101,1299664158485512192
102,1299637514140090368
103,1299579121752629249
104,1299558665368645632
105,1299558521311080450
106,1299558490642341888
107,1299557799144370177
108,1299546902447435776
109,1299537529075568640
110,1299512663454564352
111,1299510173313241093
112,1299510000692400128
113,1299468766393311233
114,1299468016397234176
115,1299467681851039744
116,1299443798179819520
117,1299443679355117570
118,1299435762891534337
119,1299435513770803203
120,1299423156369788934
121,1299422339692625922
122,1299421287866159109
123,1299419312944484352
124,1299409081552297986
125,1299402570096615427
126,1299386581695037446
127,1299363114685796352
128,1299348011282313218
129,1299345895448862720
130,1299333443726331905
131,1299333435517997057
132,1299327422194757634
133,1299279148943208449
134,1299271394929369088
135,1299236973169836032
136,1299204376251179010
137,1299197122219315201
138,1299195389468463104
139,1299193279771099136
140,1299191599419854849
141,1299185921326157826
142,1299184053187473408
143,1299171068117090304
144,1299169556691398657
145,1299160036166512647
146,1299158116077051904
147,1299157871238754304
148,1299157581169070080
149,1299156049140875265
150,1299156005184581633
151,1299153578032918528
152,1299153391860543488
153,1299150806017597446
154,1299149720414294016
155,1299148726611709953
156,1299147137574469633
157,1299146681699758082
158,1299145339308474368
159,1299141125459058688
160,1299140982022209539
161,1299140131199229952
162,1299140106591391747
163,1299138496397967360
164,1299137415240507392
165,1299136826956017669
166,1299133526600593409
167,1299131308099145730
168,1299130713686642689
169,1299129459304542209
170,1299127295420952576
171,1299127000049819649
172,1299126182806388737
173,1299125395573284864
174,1299125213901324290
175,1299124883100663814
176,1299123520526594052
177,1299121983557255168
178,1299121587237642247
179,1299120932431298562
180,1299120352409325569
181,1299119997973913601
182,1299119902796603393
183,1299119859343654912
184,1299119707723902976
185,1299119550282244097
186,1299081851181527040
187,1299080607511781377
188,1299069637469130758
189,1299069564320460807
190,1299067476446031873
191,1299066236781957121
192,1299065871038656513
193,1299064549656719361
194,1299062917929807873
195,1299062832122802176
196,1299061103658438656
197,1299052371411005440
198,1299049895068700675
199,1299049865834401792
200,1299049828962320385
201,1299049788374003713
202,1299042664831221763
203,1299036729173671936
204,1299036052527747077
205,1299023070162804737
206,1299022346280468481
207,1299014056972451840
208,1299011907383431168
209,1299008394234408960
210,1299007889357647872
211,1298999473922662400
212,1298994443131875331
213,1298993809578012672
214,1298959837917859840
215,1298957380559011842
216,1298901538480558080
217,1298871493258915840
218,1298811588657455104
219,1298808350004649986
220,1298778726663180294
221,1298766573595918336
222,1298764734590664705
223,1298747152068423685
224,1298736805630619650
225,1298735123211247616
226,1298731497243971585
227,1298720298737393664
228,1298707249922224129
229,1298707048541106176
230,1298703035229597696
231,1298701079195144197
232,1298696489191923712
233,1298688080136663040
234,1298679527636447233
235,1298677992944799749
236,1298676263675203585
237,1298676249964023808
238,1298660704455729156
239,1298654598668996608
240,1298652784393359368
241,1298649651277639683
242,1298648495096832000
243,1298646873197015040
244,1298644348310106114
245,1298638565451022337
246,1298625168500297730
247,1298613114808795136
248,1298612964048736262
249,1298604329428033536
250,1298584861586993152
251,1298581528159584261
252,1298539122643132419
253,1298465985083707393
254,1298447887727243275
255,1298441096054284290
256,1298432476231151616
257,1298432066007302150
258,1298432029676253184
259,1298405300102463493
260,1298387295352102918
261,1298386581561184267
262,1298383252982562824
263,1298378455738920960
264,1298378408037163009
265,1298342478823796737
266,1298342306202910721
267,1298335047993503745
268,1298331649894227970
269,1298330514793943046
270,1298321943301513218
271,1298320246126911489
272,1298307883537489923
273,1298306790707216386
274,1298305842194849793
275,1298297325870252032
276,1298295055086747649
277,1298289281144766464
278,1298287721354530817
279,1298283182601764865
280,1298277316036976641
281,1298268303983390721
282,1298267377268736000
283,1298232180347412481
284,1298205933919703042
285,1298187784109395970
286,1298187537899544577
287,1298186624015060994
288,1298109065764118528
289,1298099182088028166
290,1298085505410768898
291,1298080335557664768
292,1298077462547529734
293,1298076924254666752
294,1298065079016067072
295,1298059726064951297
296,1298056935053418496
297,1298052505788510208
298,1298049464716926979
299,1298048932002574353
300,1298047854523686913
301,1298047608515178497
302,1298047484963561479
303,1298047248920698880
304,1298046989024858112
305,1298046891737915392
306,1298046396919091200
307,1298045654560845826
308,1298045100535226368
309,1298044965105414144
310,1298044549789605888
311,1298044486786748416
312,1298044226333155330
313,1298036328748195841
314,1298034109999128579
315,1298020279776673802
316,1298019189836447751
317,1298014297021243392
318,1298011741666893824
319,1298004987990212614
320,1298003424563298305
321,1298002713217835009
322,1297977511553519617
323,1297961495490367495
324,1297951069243310080
325,1297944903733915650
326,1297930717721174021
327,1297921938925465601
328,1297918036494692352
329,1297915426463252480
330,1297906200298901504
331,1297902285977083906
332,1297870377692073984
333,1297866425839816706
334,1297864267937480705
335,1297849077099646976
336,1297845337500135426
337,1297810566522769408
338,1297773631611822080
339,1297751954895122432
340,1297735429001625602
341,1297733462577815553
342,1297726182717140992
343,1297704888672178176
344,1297697187279798272
345,1297676611567919106
346,1297672694029266944
347,1297648744813346816
348,1297640365927825409
349,1297631821551804424
350,1297631019751923715
351,1297612807911944193
352,1297609678327885825
353,1297608615818399745
354,1297608508779585538
355,1297602253805821953
356,1297601932777926658
357,1297600940728446976
358,1297596434867539973
359,1297565732071505920
360,1297557513265586177
361,1297556537561321474
362,1297556508444471298
363,1297526409070551041
