,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,0,1443708055787540480,52517368,0,0,0,9,1.4434648059863163e+18,retweeted,"RT @FilmsinFrench: ""I can’t swim that fast."" #TheLittleMermaid #LittleMermaid #LaPetiteSirène #PetiteSirène #Disney #LearnFrench #FLE https…"
1,1,1,1443686171234738179,21150913,3,0,1,0,,,"#TheLittleMermaid by @ChantryDance was sublime. The choreography was fantastic and the costumes fabulous. My favourite was the jellyfish fans, but the angler fish were very clever. https://t.co/y6E9Ag0rFa"
2,2,2,1443674672474775553,55113707,0,0,0,0,,,@arianagrande #TheVoice the more I look at you and listen to you every week I can't get over how perfect you would have been to play @Disney #Ariel for live action #thelittlemermaid. The fake trailer with you in it would have been a dream come true. Great coach this season too 😉
3,3,3,1443673532748152838,438856590,0,0,0,0,,,Mermaid magic 💕🧜🏼‍♀️ #thelittlemermaid #nanakuli #mermaidsparkles #hawaiienchantment #oahu #explore #beautyallaround #Godscreation @ Mermaid Caves https://t.co/QGUqvyW75Z
4,4,4,1443655561040564234,1354945129442906118,0,0,0,9,1.4434648059863163e+18,retweeted,"RT @FilmsinFrench: ""I can’t swim that fast."" #TheLittleMermaid #LittleMermaid #LaPetiteSirène #PetiteSirène #Disney #LearnFrench #FLE https…"
5,5,5,1443648736576557057,2802246632,3,0,0,0,,,"Ariel as GHOST
#Royaltober21 #liza_krendel #marinabksv
#halloweenart #artoftheday #october21 #octoberchallenge #spooky #spookyseason #disney #disneyprincess #ariel #thelittlemermaid #ghost #moon #stars https://t.co/BCOozZa3nz"
6,6,6,1443644683507404804,210368825,0,0,0,2,1.4436314279463526e+18,retweeted,RT @extratv: .@HalleBailey is dishing on what to expect from the live-action remake of #TheLittleMermaid! https://t.co/VUNI1uoRzX
7,7,7,1443634254550810626,1145986544718745600,0,0,0,1,1.4436332219382538e+18,retweeted,"RT @BlankieTails: THROWBACK THURSDAY! To when the DISCMAN was 🎶Part of Your World🎶💿🧜‍♀️
@Sony @SonyMusic 
#BlankieTails #ThrowbackThursday…"
8,8,8,1443633221938253829,3130870888,1,0,0,1,,,"THROWBACK THURSDAY! To when the DISCMAN was 🎶Part of Your World🎶💿🧜‍♀️
@Sony @SonyMusic 
#BlankieTails #ThrowbackThursday #Discman #Sony #SonyMusic #DontSKIPaBeat #TheLittleMermaid #Ariel #Soundtrack #WaltDisneyRecords #Disney #PartOfYourWorld #CD #CompactDisc https://t.co/9lUZBOMOV6"
9,9,9,1443631827739099142,191384128,0,0,0,2,1.4436314279463526e+18,retweeted,RT @extratv: .@HalleBailey is dishing on what to expect from the live-action remake of #TheLittleMermaid! https://t.co/VUNI1uoRzX
