Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
0	0	1145481414764388363	1015520801385275392	2	0	0	0	1.1454761027119104e+18	quoted	"Spill the tea!
@Disney @DisneyStudios @WaltDisneyWorld @DisneyAnimation @WaltDisneyCo @melissamccarthy @Alyssa_Milano @Zendaya
#TheLittleMermaid https://t.co/WWlHobfZxe"	0.0128	0.6986	0.2886
1	1	1145480617615929344	2456649917	0	0	0	87	1.1454559449120316e+18	retweeted	RT @theredneighbor: #OneDirection star @Harry_Styles has already accepted the role of #PrinceEric in #TheLittleMermaid and may go on hiatus…	0.0112	0.9143	0.0744
2	2	1145479041237102593	57675532	0	0	0	128	1.1453321918131282e+18	retweeted	RT @nickymorris_: Seen the uproar about who should play Ursula in the live action remake of #TheLittleMermaid and I truly believe that @The…	0.0237	0.4667	0.5096
3	3	1145478709186572288	66894896	0	0	0	0			Under da seaaa!! 🎵🎶 acrylics on canvas board #Ariel #underthesea #thelittlemermaid #acrylicsoncanvasboard #nicolesalamone #loungebaby #sociallyawkward #sebastain  @DisneyStudios @Disney @DisneyAnimation @WaltDisneyCo https://t.co/ZqqkFS8XvW	0.0116	0.6974	0.2911
4	4	1145478544488837123	700023138	0	0	0	87	1.1454559449120316e+18	retweeted	RT @theredneighbor: #OneDirection star @Harry_Styles has already accepted the role of #PrinceEric in #TheLittleMermaid and may go on hiatus…	0.0112	0.9143	0.0744
5	5	1145477896775057408	904146246151045120	3	0	0	0	1.1454746089900524e+18	replied_to	"@ThePerezHilton @ChildrensLA @PerezHilton @cocoperez @OppoSuits Tweet this photo out and tag @Disney

#TheLittleMermaid #Ursula #Gaga https://t.co/2wA5WfmlVY"	0.0053	0.9282	0.0665
6	6	1145477605447090181	904146246151045120	0	0	0	19	1.1447825528945172e+18	retweeted	RT @ThePerezHilton: Lady GaGa would be a much better choice, me thinks! U? https://t.co/MoUje1RrQY #MelissaMcCarthy #TheLittleMermaid	0.0162	0.318	0.6658
7	7	1145476417947181057	739915348577820673	0	0	0	1921	1.144690681153237e+18	retweeted	RT @Variety: Meet your new Ursula: Melissa McCarthy is joining the live action remake of #TheLittleMermaid https://t.co/d1gvOvYfsh https://…	0.0029	0.7772	0.2198
8	8	1145476380278345733	3197815056	0	0	0	1921	1.144690681153237e+18	retweeted	RT @Variety: Meet your new Ursula: Melissa McCarthy is joining the live action remake of #TheLittleMermaid https://t.co/d1gvOvYfsh https://…	0.0029	0.7772	0.2198
9	9	1145476276293181441	2832826985	0	0	0	87	1.1454559449120316e+18	retweeted	RT @theredneighbor: #OneDirection star @Harry_Styles has already accepted the role of #PrinceEric in #TheLittleMermaid and may go on hiatus…	0.0112	0.9143	0.0744
10	10	1145474955066445824	725181603648032768	0	0	0	66	1.1451137047590052e+18	retweeted	"RT @theredneighbor: First look to the oficial cast of #TheLittleMermaid live-action:

@Zendaya as Ariel
@Harry_Styles as Eric
@GerardButler…"	0.009	0.8857	0.1052
