,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,0,7.156718063177114e+17,3098516646.0,0.0,0.0,0.0,0.0,,,#Checkout #MadMaxFuryRoad #Max Part One &amp; Part Two NM/MT 9.8 2015 First Printing #Vertigo  https://t.co/cUvBncS8W0 via @eBay #roadwarrior
1,1,1,7.156681717267866e+17,4199093174.0,2.0,0.0,0.0,0.0,,,Who didn't think of Mad Max when Carol drove up in that spiked car? 😂#Carol #furiosa #madmaxfuryroad #TheWalkingDead https://t.co/TnMs9qzQag
2,2,2,7.156601232139469e+17,3098516646.0,0.0,0.0,0.0,0.0,,,#JustListed #MadMaxFuryRoad #Nux &amp; #ImmortanJoe #1 NM/MT 9.8 2015 First Printing #Vertigo #DC https://t.co/oqdwpbqLoe via @eBay #Roadwarrior
3,3,3,7.156579686462259e+17,19788280.0,1.0,0.0,1.0,0.0,,,Watched #MadMaxFuryRoad earlier...slightly odd! 😕
4,4,4,7.156452104123884e+17,164221634.0,2.0,0.0,0.0,0.0,,,Watching #MadMaxFuryRoad and just when i thought i couldnt love #TomHardy anymore...😍😍😍
5,5,5,7.156371258116751e+17,40192267.0,0.0,0.0,0.0,3.0,7.156237751827087e+17,retweeted,RT @jordan_buckner: My print from #WonderCon2016 is available to buy from @HeroComplexArt - https://t.co/LMALlleatw #MadMaxFuryRoad https:/…
6,6,6,7.156338494185308e+17,895385635.0,0.0,0.0,0.0,0.0,,,#MadMaxFuryRoad is one of those rare gems that would be a true honour and pleasure to review with just so much to discuss.
7,7,7,7.156299428647895e+17,2525731453.0,0.0,0.0,0.0,0.0,,,Before &amp; after visual effects comparison in #MadMaxFuryRoad (2015) #WitnessMe https://t.co/m8kJGR92JY
8,8,8,7.156277999445115e+17,895385635.0,0.0,0.0,0.0,0.0,,,"Ok one thing which I find kinda annoying about an otherwise completely absorbing film, is the way Tom Hardy talks in it. #MadMaxFuryRoad"
9,9,9,7.156249926801121e+17,895385635.0,0.0,0.0,0.0,0.0,,,#MadMaxFuryRoad is hauntingly and visually addictive.
10,10,10,7.156237751827087e+17,296554738.0,10.0,0.0,0.0,3.0,,,My print from #WonderCon2016 is available to buy from @HeroComplexArt - https://t.co/LMALlleatw #MadMaxFuryRoad https://t.co/wqAEREOMoF
11,11,11,7.156209031413801e+17,1158484424.0,1.0,0.0,0.0,0.0,,,Waited 2C the #FindingDory trailer for years...it's no #MadMaxFuryRoad but who cares bc at this point I'm seeing the film NO MATTER WHAT&lt;3
12,12,12,7.156116639076106e+17,895385635.0,0.0,0.0,0.0,0.0,,,Finally watching #MadMaxFuryRoad . 20 minutes in. Bloody hell this film is an experience. Wouldn't know where to begin.
