,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,1002333597469216771,992196196474204160,1,0,1,0,,,Two new ideos up of my witcher  walkthrough - check them out! #walkthrough #thewitcher #thewitcher2 #Youtube #gaming #gamer #follow4follow #sub4sub  https://t.co/0nWNocDJ4P
1,1002326253536497664,998098497911091200,0,0,0,1,1002324728361742336,retweeted,"RT @kaiiraii_: Streaming #witcher3 🔴LIVE🔴 right now! Come join me in staring at beautiful Geralt 😍! 🦄✨💕

https://t.co/xOeFZmYg6w

#twitchki…"
2,1002324728361742336,869062871677894657,3,0,0,1,,,"Streaming #witcher3 🔴LIVE🔴 right now! Come join me in staring at beautiful Geralt 😍! 🦄✨💕

https://t.co/xOeFZmYg6w

#twitchkittens #twitchstreamer #beautygamers #ps4 #streamer #smallstreamer #twitch #witcher #girlgamer #fallout #girlstreamers #thewitcher https://t.co/dyK0jgAaB5"
3,1002322414146129922,817202535341625345,0,0,0,205,962673679741128704,retweeted,"RT @kooks000: Anathema.

#TheWitcher https://t.co/p6e7xVpfwu"
4,1002320144087937024,975532186748141568,2,0,0,1,1002248025379504128,quoted,"We've still got 2 hours of voting left, guys! What do you want to see me play tonight for #AnyGameCanHappenThursday? Click the tweet below to vote! #Vermintide2 #AliceMadness #Overwatch #TheWitcher #HypeSquad #TwitchStreamers #TwitchAffiliate #SupportSmallStreamers #SmallStreamer https://t.co/XEDIz8cIAf"
5,1002304206408216576,633735002,7,0,0,0,,,My pet fire Calcifer says “Hi!” xD ... it makes playing #TheWitcher a much more immersive experience XD https://t.co/N65hYgCys6
6,1002280564232282112,905904602209558528,0,0,0,0,,,"LIVE NOW with #TheWitcher a great game, a great series and a great Geralt

https://t.co/xhH7au9V3T 

@NerdNationHQ #NerdNation #LadyNerd"
7,1002280302486548480,997513847287132161,0,0,0,5,1002113597693194241,retweeted,RT @michaeldenicola: I sketched this dude cause @torianne00 said so. tomorrow I'll be back at it doing more superhero traditional drawings.…
8,1002267810826014721,929417021137326081,0,0,0,0,,,"Riding #Yennefer - https://t.co/zcszbw7gMG
#Bruhsfm #TheWitcher https://t.co/q3qjrY5Rz6"
9,1002248025379504128,975532186748141568,2,1,0,0,,,"It's #AnyGameCanHappenThursday, guys! I totally forgot! What should I play for you guys tonight?#Vermintide2 #AliceMadness #Overwatch #TheWitcher #HypeSquad #TwitchStreamers #TwitchKittens #TwitchAffiliate #SupportSmallStreamers #SupportAllStreamers #SmallStreamer"
10,1002240134048288768,860858220075679744,3,0,0,0,,,"Cosplay&amp;Editing: me
Picture: @AkiraMiclast 
#ciri #ciricosplay #cosplay #witcher #witcher3 #thewitcher #thewitcher3 https://t.co/cZDGjJXvjB"
11,1002239085388423168,3340879755,0,0,0,1,1002238051311960065,retweeted,RT @trashpurrincess: quick paint of a ciri #thewitcher #TheWitcher3 https://t.co/yksVy1YMRv
12,1002238051311960065,718322293567528961,2,0,1,1,,,quick paint of a ciri #thewitcher #TheWitcher3 https://t.co/yksVy1YMRv
13,1002229684950663169,23204699,0,0,0,0,,,"@orbitbooks I mean, if you do put out the rest of The Witcher series out in hard cover, I promise to buy each one.  #witcher #thewitcher #books #fantasy #orbit"
