,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,0,1024427401583976448,566538126,0,0,0,5,1.0244070234069934e+18,retweeted,RT @GeeksGamersCom: . @PerilousFate examines the popularity of retro games and implores AAA video games developers to rediscover their hear…
1,1,1,1024423400402550786,1663119601,0,0,0,14,1.0244089997335592e+18,retweeted,"RT @trueithefrog: Here is a preview of my piece for @Gaming_Heroines ! I’ve illustrated #TrissMerigold 🔥, from #theWitcher (donning her TW3…"
2,2,2,1024415602377666567,4764260177,0,0,0,14,1.0244089997335592e+18,retweeted,"RT @trueithefrog: Here is a preview of my piece for @Gaming_Heroines ! I’ve illustrated #TrissMerigold 🔥, from #theWitcher (donning her TW3…"
3,3,3,1024415405140582400,178394244,0,0,0,14,1.0244089997335592e+18,retweeted,"RT @trueithefrog: Here is a preview of my piece for @Gaming_Heroines ! I’ve illustrated #TrissMerigold 🔥, from #theWitcher (donning her TW3…"
4,4,4,1024413096885059585,1325928318,0,0,0,5,1.0244070234069934e+18,retweeted,RT @GeeksGamersCom: . @PerilousFate examines the popularity of retro games and implores AAA video games developers to rediscover their hear…
5,5,5,1024410377076056065,1002158794665857025,0,0,0,14,1.0244089997335592e+18,retweeted,"RT @trueithefrog: Here is a preview of my piece for @Gaming_Heroines ! I’ve illustrated #TrissMerigold 🔥, from #theWitcher (donning her TW3…"
6,6,6,1024410227087749120,1018865844376559627,0,0,0,14,1.0244089997335592e+18,retweeted,"RT @trueithefrog: Here is a preview of my piece for @Gaming_Heroines ! I’ve illustrated #TrissMerigold 🔥, from #theWitcher (donning her TW3…"
7,7,7,1024408999733559296,778094846,28,0,0,14,,,"Here is a preview of my piece for @Gaming_Heroines ! I’ve illustrated #TrissMerigold 🔥, from #theWitcher (donning her TW3 outfit).

The kickstarter is currently live! https://t.co/6NeAHZHsb8"
8,8,8,1024408147446902794,2589777516,0,0,0,2,1.0244078962584288e+18,retweeted,"RT @RocketDogLive: Live #TheWitcher Witcher gameplay at https://t.co/b9LxG3o4jp what are you waiting for people.

#meetnewgamers #SupportSm…"
9,9,9,1024408099963240448,837639665012391937,0,0,0,2,1.0244078962584288e+18,retweeted,"RT @RocketDogLive: Live #TheWitcher Witcher gameplay at https://t.co/b9LxG3o4jp what are you waiting for people.

#meetnewgamers #SupportSm…"
10,10,10,1024407896258428928,916212013973626880,1,0,0,2,,,"Live #TheWitcher Witcher gameplay at https://t.co/b9LxG3o4jp what are you waiting for people.

#meetnewgamers #SupportSmallStreamers #SupportSmallerStreamers #videogames #smallstreamers #smallstreamer #SmallStreamersCommunity @WaspsGaming_ #twitchstreamer #twitch"
11,11,11,1024407119309750272,63277398,0,0,0,5,1.0244070234069934e+18,retweeted,RT @GeeksGamersCom: . @PerilousFate examines the popularity of retro games and implores AAA video games developers to rediscover their hear…
12,12,12,1024407053454979074,2820472121,0,0,0,5,1.0244070234069934e+18,retweeted,RT @GeeksGamersCom: . @PerilousFate examines the popularity of retro games and implores AAA video games developers to rediscover their hear…
13,13,13,1024407023406993408,377653828,18,0,0,5,,,. @PerilousFate examines the popularity of retro games and implores AAA video games developers to rediscover their hearts for Geeks + Gamers! #RETROGAMING #SquareEnix #SonicMania #Shantae #TheWitcher #nesclassic #Sega #OCTOPATHTRAVELLER #Geeks #Gamers https://t.co/yvGydnQHOh
14,14,14,1024388674149076994,2576593224,0,0,0,0,,,"#festadellunicorno2018 day 2
Anche #yenneferofvengerberg legge #lalfabetodibu di #luciatrimarchi! 😁
#yennefercosplay #yenneferofvengerbergcosplay #yennefer #thewitcher #thewitcher3… https://t.co/g1nc2ikKnb"
15,15,15,1024352879757455361,1086518352,0,0,0,2,1.0243157509605212e+18,retweeted,RT @RocketDogLive: What's up guy and gals we will be live tonight from 10:30PM UK time with so #TheWitcher at https://t.co/b9LxG3o4jp see y…
16,16,16,1024327777229647872,4438173753,1,0,0,0,,,"Gerd - The Witcher of School of the Bear
Author: https://t.co/ukoXQNAzWa
#Ведьмак #Ведьмак3 #TheWitcher #thewitcher3 #thewitcher3wildhunt #wildhunt #Witcher #книга #АнджейСапковский #book… https://t.co/ZF6ZBOyYnO"
17,17,17,1024315985023647745,2895276604,0,0,0,4,1.0241450536383857e+18,retweeted,"RT @JohnsoJudi: Awesome! Zach #ZachMcGowan at #MCMcomiccon !! A fan asked a question""On a scale of 1-10 how perfect do you think you'd be a…"
18,18,18,1024315818174304256,837639665012391937,0,0,0,2,1.0243157509605212e+18,retweeted,RT @RocketDogLive: What's up guy and gals we will be live tonight from 10:30PM UK time with so #TheWitcher at https://t.co/b9LxG3o4jp see y…
19,19,19,1024315750960521216,916212013973626880,7,0,1,2,,,"What's up guy and gals we will be live tonight from 10:30PM UK time with so #TheWitcher at https://t.co/b9LxG3o4jp see you there people.

#SupportSmallStreamers #SupportSmallerStreamers #videogames #smallstreamers #smallstreamer #SmallStreamersCommunity @WaspsGaming_ #twitch"
20,20,20,1024310038784081921,860858220075679744,7,0,0,0,,,"Even after everything that happened I still can't stop to think off him

Picture: @AkiraMiclast

#cosplay #costume #iris #irisvonevereccosplay #irisvoneverec #witcher #witchercosplay #witcher3 #witcher3cosplay #thewitcher #thewitchercosplay #thewitcher3 #thewitcher3cosplay https://t.co/8PcsthHOF5"
21,21,21,1024295904252190720,89925611,0,0,0,0,,,"And last but not least! #geraltofrivia #figure in my #collection - the last I missed from new #darkhorse release. #geek #nerd #geekdad #thewitcher #witcher w: Wroclaw, Poland https://t.co/Q3WsKRNfrY"
22,22,22,1024289879042211842,480411355,0,0,0,0,,,"The Land of fables.
#TheWitcher

Check out my NVIDIA Ansel screenshot at https://t.co/5OR03zvhBq #SHOTWITHGEFORCE via @NVIDIAGeForce"
23,23,23,1024285175906099200,981884660,1,0,0,0,,,RT if you want @Kat_McNamara to play Triss in The Witcher Series! #TheWitcher #Netflix #TrissMerigold #GeraltOfRivia #NorthernKingdoms #KaerMorhen #Novigrad #Velen #Vizima #WhiteOrchard #Skellige https://t.co/a7Uo4FuRqQ
24,24,24,1024270310558711808,247165132,0,0,0,0,,,Geralt of Rivia is cool #thewitcher #arpg https://t.co/6GpaVSdDqs
25,25,25,1024259510456737798,712748734669520897,2,0,0,0,1.0241450536383857e+18,quoted,And we’ll be so VERY  happy to watch #ZachMcGowan as #TheWitcher https://t.co/1YVj7ECY8n
26,26,26,1024244079541055489,3082317614,0,0,0,4,1.0241450536383857e+18,retweeted,"RT @JohnsoJudi: Awesome! Zach #ZachMcGowan at #MCMcomiccon !! A fan asked a question""On a scale of 1-10 how perfect do you think you'd be a…"
27,27,27,1024145053638385664,711573109028098050,17,2,4,4,,,"Awesome! Zach #ZachMcGowan at #MCMcomiccon !! A fan asked a question""On a scale of 1-10 how perfect do you think you'd be as #TheWitcher in the new series on #Netflix ?"" Zach said ""I think I can do a 10,that's me and I'm happy to do it!"" https://t.co/JhYE8ce9Jb @ZMcGowanFanClub"
28,28,28,1024097747778134016,128470946,1,0,0,0,,,"Playing The Witcher 3: Wild Hunt. Haven't played this in forever. Come hang with me. 😁

#thewitcher #TheWitcher3WildHuntGameoftheYearEdition #twitch #xbox #stream #twitchaffiliate #follow #subscribe 

https://t.co/eaSqLSjlCf"
29,29,29,1024094978514010113,110338185,0,0,0,0,,,I stumbled upon a Paul Walker tribute in the Witcher 3... #fastandfurious #thewitcher #gaming #cdprojektred https://t.co/WlJsA4mBO3
30,30,30,1024077006114377730,230402057,0,0,1,0,1.0240683487730606e+18,replied_to,"@_Visions_G My favourite fighting games being Soul Calibur, (so as you can guess i can't wait for #SoulCaliburVI and Geralt of Rivia is in it from #TheWitcher series which is epic) Tekken, Street Fighter, Super Smash Bros, Fighting Vipers, (man! We need another entry in this series)"
31,31,31,1024053595837218817,922501602136805377,0,0,0,1,1.0174807658635388e+18,retweeted,"RT @HyvyGaelle: It's completed ! Inspiration cosplayer: @maul_cosplay , All in pencil and white Posca, thank you for your photo! #Draw #The…"
32,32,32,1024050376654442496,2222258101,1,0,0,0,,,A Day In Novigrad #TheWitcher3WildHuntGameoftheYearEdition #Thewitcher3 #thewitcher #Photo #Videogame https://t.co/VTsZ1AlNQ9
33,33,33,1023995528714104832,23600542,4,0,1,0,,,That amazing event that took over months of my life organising. Epic. #TheWitcher3 #Wildhunt #TheWitcher @witchergame #Scotland #StirlingCastle @stirlingcastle https://t.co/Sf9PwAadID
34,34,34,1023988839604465664,879725311369371648,1,0,0,0,,,"The Khajiit are a race of cat-like creatures from which epic series of role-playing games, set across the land of Tamriel? 
🇦 #LordoftheRings,   🇧 #TheWitcher, 
🇨 #TheElderScrolls or 🇩 #NeverwinterNights?"
35,35,35,1023984891656953856,14675756,2,0,0,0,,,"Schedule for this week! #100DaysOfGaming is going strong! More #FinalFantasy, #ElderScrollsOnline, #TheWitcher, #OctopathTraveler, #Skyrim and MORE! @ExtraLife4Kids #ForTheKids https://t.co/1Ons9zxyFd https://t.co/dbDb5WK7AO"
36,36,36,1023980187107708929,1023973993987104768,0,0,0,134,8.645925844166451e+17,retweeted,RT @VRCosplayX: And Cumming this Friday to https://t.co/h4hcsY4LJy the stunning @KatrinaxJade will play #Yennefer from The Witcher III #The…
37,37,37,1023960728007593985,19973824,0,0,0,5,1.022211040312873e+18,retweeted,RT @barb_baran8: Don’t forget @Zach_McGowan when casting for the role of #GeraltOfRivia Zach is ready to play #TheWitcher his roles in #The…
38,38,38,1023938902007205888,238203196,6,0,1,0,,,"All @RaruShopping orders have finally arrived! Thanks duders!
#raruisawesome #raru #rarushopping #funkopop #funko
#jinxbrand #jinxdotcom #gayaentertainment #wow #worldofwarcraft #godofwar #gow #thewitcher #destinythegame #destiny2 #gamingmerch #gaming https://t.co/CiAOEAWsUA"
39,39,39,1023924641717514240,294354911,0,0,0,0,,,PC Classics: The Witcher (Part 13) - Cultists in the Sewers https://t.co/DEBvA5qKPb #TheWitcher #PCGames #PcClassics #letsplay #gaming #videogames
40,40,40,1023923266975621122,4144822943,0,0,0,2255,7.640660740189716e+17,retweeted,"RT @witchergame: Congrats on the silver medal, Vitalina Batsarashkina! Thanks for representing #TheWitcher at #Olympics in #Rio2016 https:/…"
41,41,41,1023885596094332928,615155758,0,0,0,0,,,Just finished The Witcher 3 #thewitcher3 #thewitcher https://t.co/ZCUvfE6X04
42,42,42,1023862926145474560,57286901,0,0,0,0,,,Using references for the master sword hilt from the Witcher 2 art book :) #WIP #zelda #thewitcher #illustration #sketchbook #process #art #artist #creativeprocess #createdonsurface… https://t.co/CnZMsMGpxL
43,43,43,1023799571158376448,89925611,0,0,0,0,,,"New elements to my #collection - #thewitcher #witcher w: Wroclaw, Poland https://t.co/kw65FhK463"
44,44,44,1023742472512405504,537466892,0,0,0,0,,,SPJ laments that #bluesandbullets won't ever be completed. https://t.co/HKjfWer53Z   #BSPN #spj #videogame #letsplay #playthrough #bluesandbullets #alcapone #acrowdofmonsters #noir #thewitcher #dougcockle
45,45,45,1023742066369671170,128713679,4,0,1,0,,,Let's dance! #TheWitcher #PS4share https://t.co/a2WutwZdbc
46,46,46,1023717937352507398,36989313,0,0,0,5,1.02370242933692e+18,retweeted,"RT @witchertvsite: Although hard to describe personalities in a single tweet, @LHissrich has given fans insight into the personalities of f…"
47,47,47,1023717905622429696,2964166080,0,0,0,5,1.02370242933692e+18,retweeted,"RT @witchertvsite: Although hard to describe personalities in a single tweet, @LHissrich has given fans insight into the personalities of f…"
48,48,48,1023717770188345344,1019282075004747776,0,0,0,5,1.02370242933692e+18,retweeted,"RT @witchertvsite: Although hard to describe personalities in a single tweet, @LHissrich has given fans insight into the personalities of f…"
49,49,49,1023708135339393024,842469782,0,0,0,5,1.02370242933692e+18,retweeted,"RT @witchertvsite: Although hard to describe personalities in a single tweet, @LHissrich has given fans insight into the personalities of f…"
50,50,50,1023705230255501313,422911000,0,0,0,338,9.671144252944548e+17,retweeted,"RT @LHissrich: And now, all in one handy thread... #TheWitcher characters.

GERALT IS:
Stoic.
Circumspect.
Balanced.
Fierce.
Soft-and-squis…"
51,51,51,1023702429336920069,1012039752063725569,19,1,0,5,,,"Although hard to describe personalities in a single tweet, @LHissrich has given fans insight into the personalities of future characters. Visit our page at https://t.co/fs9VlTTSu2 to learn more! #thewitcher #Netflix #TheWitcherTV #Triss #TrissMerigold https://t.co/4HpyR1dyvk"
52,52,52,1023692481311977472,50180069,1,0,0,0,,,"So far, the last few areas near the end of #TheWitcher are swamps. Talk about dreadful!  Closing in on the end of Act V."
