,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
0,329,1,330,9.00709703524778e+17,0.0,0.0,0.0,1.0,1.32267410982264e+18,retweeted,RT @WildCardHoney: Dressed up for Halloween 🙈 as Yen 😊 #yennefer #cosplay #TheWitcher #Halloween2020 https://t.co/Cj7zrZJIpR,positive,1,343,2022-11-09T20:48:31.876549Z,2022-11-09T20:48:31.876549Z,2.386
1,368,0,369,356222448.0,0.0,0.0,0.0,53.0,1.3773536168733614e+18,retweeted,RT @looper: Season 2 of #TheWitcher has officially wrapped filming. https://t.co/j7qOhArvXS,neutral,1,382,2022-11-09T20:51:21.636621Z,2022-11-09T20:51:21.636621Z,2.563
2,455,7,456,1.225277114166825e+18,0.0,0.0,0.0,592.0,1.4525991545601477e+18,retweeted,"RT @ola_cha: Love song 🎵
 
#jaskier #thewitcher https://t.co/JIYpbokngC",neutral,1,469,2022-11-09T21:02:18.470495Z,2022-11-09T21:02:18.470495Z,2.026
3,426,2,427,1.3132213638851953e+18,0.0,0.0,0.0,221.0,1.454941049411965e+18,retweeted,RT @untaintedtea: reposting old Witcher family art for Halloween 🎃 #TheWitcher https://t.co/W0zE4c9yd2,neutral,1,440,2022-11-09T20:54:52.645111Z,2022-11-09T20:54:52.645111Z,8.403
4,261,5,262,1065969446.0,1.0,0.0,1.0,0.0,1.2233396203870577e+18,replied_to,@VisionSisters @EyesAidan @RCArmitage Really great series to binge watch nearly finished watching #TheWitcher and really enjoy it also #LostInSpace and #StarTrekDiscovery .😆,positive,1,275,2022-11-09T20:38:11.470755Z,2022-11-09T20:38:11.470755Z,4.34
5,51,3,52,9.171583615185428e+17,0.0,0.0,0.0,1.0,,,I will be giving away The Witcher 3 GOTY edition after I hit 50 Followers! All you have to do is follow and the more you watch the better your chances! #twitch #stream #positive #positivity #giveaway #TheWitcher #thewitcher3 #games https://t.co/C4AGkq5Zlx,positive,1,65,2022-11-09T20:07:31.276565Z,2022-11-09T20:07:31.276565Z,5.206
6,82,2,83,7.646397387665572e+17,0.0,0.0,0.0,3.0,9.801983691162828e+17,retweeted,RT @SchooloftheWolf: Xcom tilted me... HARD - so back to the witcher 3 we go! - nearly at 250 followers! #TheWitcher #wildhunt #chillstream…,positive,1,96,2022-11-09T20:13:42.262129Z,2022-11-09T20:13:42.262129Z,1.757
7,0,0,1,174199827.0,0.0,0.0,0.0,1.0,8.700497039745352e+17,retweeted,RT @EneiasHura: 🔴LIVE na Twitch! Let's play #TheWitcher guys... Stream for adults only! ◤(¬‿¬)◥ Join us: #Live on: https://t.co/G0n5Izt6rL…,neutral,1,14,2022-11-09T20:00:45.489743Z,2022-11-09T20:15:02.561876Z,133.60299999999998
8,86,6,87,210631202.0,0.0,0.0,0.0,324.0,9.62672609392554e+17,retweeted,"RT @kooks000: - Now we drink.

#TheWitcher https://t.co/FoUdeLJ0eQ",positive,1,100,2022-11-09T20:13:52.075393Z,2022-11-09T20:13:52.075393Z,1.566
9,314,2,315,771659034.0,0.0,0.0,0.0,73.0,1.3002025211227464e+18,retweeted,RT @screenrant: Jason Momoa Stands With Henry Cavill's Geralt In #TheWitcher Fan Art https://t.co/zTqgc1gXD8 https://t.co/FmGPWp9e8Q,positive,1,328,2022-11-09T20:43:07.194704Z,2022-11-09T20:43:07.194704Z,3.19
10,317,5,318,1261681675.0,0.0,0.0,0.0,73.0,1.3002025211227464e+18,retweeted,RT @screenrant: Jason Momoa Stands With Henry Cavill's Geralt In #TheWitcher Fan Art https://t.co/zTqgc1gXD8 https://t.co/FmGPWp9e8Q,positive,1,331,2022-11-09T20:43:15.398489Z,2022-11-09T20:43:15.398489Z,2.169
