,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,406934042740023296,119553595,0,0,0,1,4.069283686683853e+17,retweeted,RT @jennasantenna: #WolfOfWallStreet screening @SAGFoundation !
1,1,406931718356992000,38620483,1,0,0,0,,,#WolfofWallStreet is going to be one hell of a movie #money and #power is what we all want #bigdreams #dontcomecheap #CNBC #FOXBusiness
2,2,406930872911552512,63219844,1,0,1,1,,,The BEST FILM IVE SEEN ALL YEAR. period. Man!!!! #wolfofwallstreet #movies #actors http://t.co/A2eVGa8yG7
3,3,406929041887748096,74794254,1,0,0,0,,,#WolfofWallStreet commercial. Jonah Hill looks like a possible contender for a Oscar.
4,4,406926553134931968,37708572,1,0,0,0,,,Just saw the trailer for @wolfofwallst on @USA_Network - movie looks awesome!  Definitely seeing it opening day!  #wolfofwallstreet
5,5,406876705517625346,14094131,0,0,0,540,4.0537590520980275e+17,retweeted,"RT @DarrenAronofsky: scorsese latest #WolfOfWallStreet hilarious, gutwrenching. @LeoDiCaprio fearless, brave, brilliant @JonahHill revelati…"
6,6,406868261418979329,1589251639,1,0,0,0,,,"#WolfofWallStreet sounds quite Citizen Kane-y to me; the rise and fall of a wealthy man, acclaimed director and lead actor."
7,7,406850526870265856,303913211,1,0,0,0,,,U need to go see #wolfofwallstreet
8,8,406833776208003072,93188265,1,0,0,0,4.051285243793244e+17,replied_to,RT @ronauteur: New #WolfOfWallStreet poster http://t.co/ordY9orXlP &lt; 👌
9,9,406828180901593088,220308248,0,0,0,540,4.0537590520980275e+17,retweeted,"RT @DarrenAronofsky: scorsese latest #WolfOfWallStreet hilarious, gutwrenching. @LeoDiCaprio fearless, brave, brilliant @JonahHill revelati…"
10,10,406822135227629569,600497429,1,0,0,0,,,Too many movies I want to see this season the short list: #Frozen #SavingMrBanks #WolfOfWallStreet #AmericanHustle #CatchingFire What else?
11,11,406817278194225152,579397454,0,0,0,0,,,Best Google Image Search Ever: #WolfOfWallStreet gifs http://t.co/qvOrSjSeOP
12,12,406810520184840192,27740408,2,0,0,0,,,I really want to watch movies with quality. Hunger Games Catching Fire started up my addiction /: #WolfOfWallStreet
13,13,406808150084681728,109236829,0,0,0,540,4.0537590520980275e+17,retweeted,"RT @DarrenAronofsky: scorsese latest #WolfOfWallStreet hilarious, gutwrenching. @LeoDiCaprio fearless, brave, brilliant @JonahHill revelati…"
14,14,406797412272181249,249321159,1,0,0,0,,,The new Leo movie looks awesome.#WolfOfWallStreet
15,15,406797246743990273,1974890844,1,0,0,0,,,I can't wait to Xmas weekend #WolfOfWallStreet
16,16,406793648169172992,85322083,0,0,0,2,4.067808188795699e+17,retweeted,"RT @MikeObrienFilm: Despite the cuts, 'The Wolf of Wall Street' is Scorsese's longest film to date. It runs 2 hours and 59 minutes. #WolfOf…"
17,17,406785180855050240,12757912,0,0,0,2,4.067808188795699e+17,retweeted,"RT @MikeObrienFilm: Despite the cuts, 'The Wolf of Wall Street' is Scorsese's longest film to date. It runs 2 hours and 59 minutes. #WolfOf…"
18,18,406780818879569923,106647962,1,0,0,2,,,"Despite the cuts, 'The Wolf of Wall Street' is Scorsese's longest film to date. It runs 2 hours and 59 minutes. #WolfOfWallStreet"
19,19,406776791584743424,853815708,1,0,0,0,,,I forgot that Leonardo DiCaprio's movie is now in theaters! Can't wait to see it! #WolfOfWallStreet 😏☺️
20,20,406750395432964096,745129934,0,0,0,0,,,Really want to see #wolfofwallstreet Idc Leonardo is still fit
21,21,406748863023050752,61311962,0,0,0,540,4.0537590520980275e+17,retweeted,"RT @DarrenAronofsky: scorsese latest #WolfOfWallStreet hilarious, gutwrenching. @LeoDiCaprio fearless, brave, brilliant @JonahHill revelati…"
22,22,406737582488182784,47202467,0,0,0,540,4.0537590520980275e+17,retweeted,"RT @DarrenAronofsky: scorsese latest #WolfOfWallStreet hilarious, gutwrenching. @LeoDiCaprio fearless, brave, brilliant @JonahHill revelati…"
23,23,406697616496656384,50001642,0,0,0,540,4.0537590520980275e+17,retweeted,"RT @DarrenAronofsky: scorsese latest #WolfOfWallStreet hilarious, gutwrenching. @LeoDiCaprio fearless, brave, brilliant @JonahHill revelati…"
24,24,406677008773832704,22279151,0,0,0,0,,,Brilliant marketing #wolfofwallstreet #film #filmmaking #sagaftra #awardsseason http://t.co/Cu6LPOPyaA
25,25,406661751267393536,395085696,1,0,0,0,,,Time to book it! #WolfOfWallStreet #PaloAlto http://t.co/B5JjBLtXms
26,26,406652639070674944,40162715,0,0,0,0,,,Movies I still want to see in 2013: #Frozen @AmericanHustle #WolfOfWallStreet @OutOfTheFurnace #Her #GrudgeMatch #TheSecretLifeOfWalterMitty
27,27,406625532407607296,1928773033,1,0,0,0,,,So the whole #WolfOfWallStreet @MPAA deal...still don't get the big deal over sex. Let Scorsese do what he wants. Jeez.
