Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
0	0	3.514232209493238e+17	249759720.0	1.0	0.0	1.0	0.0			There's been a lot of uncertainty wit what I want to do with my life an I have finally decided what I what to strive to be #WolfOfWallStreet	0.1329	0.6833	0.1838
1	1	3.514065127380255e+17	273747908.0	0.0	0.0	0.0	1.0			"""The year I turned 26, I made 49 million dollars. Which really pissed me off, because it was 3 shy of a million a week."" #WolfOfWallStreet"	0.8921	0.0964	0.0116
2	2	3.513811863980114e+17	460667050.0	0.0	0.0	0.0	0.0			"https://t.co/InwFXIpwxl

I gotta see this movie. #wolfofwallstreet #leo"	0.0163	0.2089	0.7748
3	3	3.513420857161851e+17	146199606.0	0.0	0.0	0.0	0.0			"Kanye West - Black Skinhead [NEW 2013]

This is a belter #wolfofwallstreet http://t.co/nV56zOWetn"	0.0079	0.39	0.6022
4	4	3.511745518304051e+17	247986170.0	1.0	0.0	0.0	0.0			"""Money is not going to make you happy, but an absence of money will buy you an awful lot of misery"" - Jordan Belfort #WolfofWallStreet"	0.644	0.2955	0.0605
5	5	3.5116641135742566e+17	26035132.0	0.0	0.0	0.0	0.0			#wolfofwallstreet trailer playing in the theaters now... #ohboy #bestbook #waitingyears	0.0023	0.0275	0.9701
6	6	3.51062559480234e+17	54798367.0	0.0	0.0	0.0	0.0			"""The year I turned 26 I made $49 million which really pissed me off because it was 3 shy of a million a week."" #WolfofWallStreet looks great"	0.4986	0.2756	0.2258
7	7	3.509848315570463e+17	95432311.0	0.0	0.0	0.0	0.0			This looks excellent. Scorsese and Leo = Can't lose. #WolfofWallStreet http://t.co/8KpMP5pqt0 http://t.co/Pg9u0KNAkE	0.0034	0.014	0.9826
8	8	3.509212147950674e+17	154225151.0	0.0	0.0	0.0	0.0			You can never have too many Leonardo DiCaprio GIFs on your Tumblr #leonardodicaprio #wolfofwallstreet  … http://t.co/OHbxLMI0lL	0.011	0.3043	0.6847
9	9	3.508243385151693e+17	33723482.0	0.0	0.0	0.0	0.0			If they gave out Oscars for movie trailers #WolfofWallStreet would win by a landslide	0.0589	0.4733	0.4678
10	10	3.508216480998441e+17	43924773.0	1.0	0.0	0.0	0.0	3.5081213558194586e+17	replied_to	@Nnamdi_22 dude, I'm so pumped #ScorseseAndLeo #plusJonah #WolfOfWallstreet	0.0015	0.0158	0.9827
11	11	3.507110117597512e+17	64855583.0	0.0	0.0	0.0	0.0			"http://t.co/G15OiX5vHM
Movie experience made... who the Hell needs the feature film when you get the #WolfOfWallStreet preview. @LeoDiCaprio"	0.3506	0.4677	0.1817
12	12	3.506922842595041e+17	36025136.0	0.0	0.0	0.0	0.0			a million reasons to see #wolfofwallstreet, contained in one animated gif: http://t.co/x1hiJ9uRgf	0.0039	0.1704	0.8257
13	13	3.505156189083443e+17	1549975951.0	0.0	0.0	0.0	27.0	3.504036076796027e+17	retweeted	RT @younghollywood: Trailer for #WolfofWallStreet shows a side of @LeoDiCaprio we don't get to see too often! --&gt; http://t.co/6wH8zSRZrP Th…	0.0046	0.3114	0.6841
14	14	3.505106467580928e+17	1552410114.0	0.0	0.0	0.0	27.0	3.504036076796027e+17	retweeted	RT @younghollywood: Trailer for #WolfofWallStreet shows a side of @LeoDiCaprio we don't get to see too often! --&gt; http://t.co/6wH8zSRZrP Th…	0.0046	0.3114	0.6841
15	15	3.504642522906624e+17	256433721.0	0.0	0.0	0.0	0.0			So it looks like Jonah Hill is playing a sleazier version of his character in Moneyball for the upcoming #WolfOfWallStreet.	0.1212	0.7946	0.0842
16	16	3.504140447814943e+17	1532194886.0	0.0	0.0	0.0	27.0	3.504036076796027e+17	retweeted	RT @younghollywood: Trailer for #WolfofWallStreet shows a side of @LeoDiCaprio we don't get to see too often! --&gt; http://t.co/6wH8zSRZrP Th…	0.0046	0.3114	0.6841
17	17	3.504114706574213e+17	1551852085.0	0.0	0.0	0.0	27.0	3.504036076796027e+17	retweeted	RT @younghollywood: Trailer for #WolfofWallStreet shows a side of @LeoDiCaprio we don't get to see too often! --&gt; http://t.co/6wH8zSRZrP Th…	0.0046	0.3114	0.6841
18	18	3.5041034766608384e+17	1532181151.0	0.0	0.0	0.0	27.0	3.504036076796027e+17	retweeted	RT @younghollywood: Trailer for #WolfofWallStreet shows a side of @LeoDiCaprio we don't get to see too often! --&gt; http://t.co/6wH8zSRZrP Th…	0.0046	0.3114	0.6841
19	19	3.504046096065659e+17	278285291.0	0.0	0.0	0.0	27.0	3.504036076796027e+17	retweeted	RT @younghollywood: Trailer for #WolfofWallStreet shows a side of @LeoDiCaprio we don't get to see too often! --&gt; http://t.co/6wH8zSRZrP Th…	0.0046	0.3114	0.6841
