,Unnamed: 0,Unnamed: 0.1,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
0,310,2,311,244742525.0,0.0,0.0,0.0,0.0,,,#WolfOfWallStreet whaat New Zealand was in it?!?!,Neutral,1,311,2022-11-08T17:37:24.409596Z,2022-11-08T17:37:24.409596Z,1.557
1,168,0,169,98228217.0,0.0,0.0,0.0,0.0,,,Maybe seeing #WolfOfWallStreet tonight. It is so long the year will change while I'm watching it.,Neutral,1,169,2022-11-08T17:09:03.689784Z,2022-11-08T17:09:03.689784Z,5.852
2,298,18,299,98064785.0,0.0,0.0,0.0,0.0,,,'Wolf of Wall Street' Producer Attacks Racketeering Claim (Exclusive) http://t.co/MUo1RnGWOl #legalnews #entertainmentlaw #WolfofWallStreet,Neutral,1,299,2022-11-08T17:29:55.022909Z,2022-11-08T17:29:55.022909Z,2.556
3,398,6,399,300692706.0,0.0,0.0,0.0,0.0,,,Sunday dinner complete.... #WolfOfWallStreet #CasualSunday #Britain meets #Russia http://t.co/MkCzygRa4I,Neutral,1,399,2022-11-08T17:46:59.245793Z,2022-11-08T17:46:59.245793Z,0.693
4,525,21,526,372040517.0,0.0,0.0,0.0,1.0,5.503586599693476e+17,retweeted,RT @JOsflow_doe: Can I be Jordan Belfort 💸💊💰 #WolfOfWallStreet,Neutral,1,526,2022-11-08T17:56:01.463224Z,2022-11-08T17:56:01.463224Z,0.76
5,31,3,32,168739909.0,0.0,0.0,0.0,0.0,,,"Dear People that run Hollywood, I'd like to watch #WolfofWallStreet now. If you could see to that, it'd be just swell.",Positive,1,32,2022-11-08T13:30:15.129856Z,2022-11-08T13:30:15.129856Z,5.566
6,432,12,433,2376059671.0,0.0,0.0,0.0,0.0,,,"Excited for #PTA's #InherentVice. Hope it doesn't fall into the unfocused story, out-of-control acting of #AmericanHustle/#WolfofWallStreet.",Neutral,1,433,2022-11-08T17:49:10.806368Z,2022-11-08T17:49:10.806368Z,5.345
7,156,16,157,85322083.0,0.0,0.0,0.0,2.0,4.067808188795699e+17,retweeted,"RT @MikeObrienFilm: Despite the cuts, 'The Wolf of Wall Street' is Scorsese's longest film to date. It runs 2 hours and 59 minutes. #WolfOf…",Neutral,1,157,2022-11-08T17:05:54.000472Z,2022-11-08T17:05:54.000472Z,286.614
8,523,19,524,397505928.0,0.0,0.0,0.0,0.0,,,Just your average #NYE afro for  @sabinewilson #WolfOfWallStreet #lovehair Happy New Year to all of… http://t.co/qN7EDPINmK,Neutral,1,524,2022-11-08T17:55:57.039079Z,2022-11-08T17:55:57.039079Z,1.047
9,65,9,66,767855965.0,0.0,0.0,0.0,0.0,,,I eagerly waiting for #wolfofwallstreet. Can't wait to see the class of acting by Leonardo DiCaprio.,Positive,1,66,2022-11-08T13:35:27.230451Z,2022-11-08T13:35:27.230451Z,6.246
10,13,13,14,1549975951.0,0.0,0.0,0.0,27.0,3.504036076796027e+17,retweeted,RT @younghollywood: Trailer for #WolfofWallStreet shows a side of @LeoDiCaprio we don't get to see too often! --&gt; http://t.co/6wH8zSRZrP Th…,Neutral,1,10,2022-11-08T13:25:49.131793Z,2022-11-08T13:25:49.131793Z,6.638
11,504,0,505,1288987472.0,0.0,0.0,0.0,0.0,,,I feel like Occupy Wall Street wouldn't have lasted as long if they'd just let the wolf out to chase all the hippies away #WolfOfWallStreet,Neutral,1,505,2022-11-08T17:54:29.933648Z,2022-11-08T17:54:29.933648Z,2.813
12,30,2,31,30402648.0,0.0,0.0,0.0,0.0,,,I decided to watch the trailer for #WolfOfWallStreet even though I'm nowhere near done with the book. Even more excited now!! #LoveLeo,Positive,1,31,2022-11-08T13:30:08.271192Z,2022-11-08T13:30:08.271192Z,7.583
13,133,21,134,1160463846.0,0.0,0.0,0.0,0.0,,,Check out http://t.co/GDJBacEuYv to see the new #trailer for #WolfOfWallStreet . Spoiler... It looks amazing!,Positive,1,134,2022-11-08T14:01:58.052922Z,2022-11-08T14:01:58.052922Z,5.266
14,257,5,258,75296244.0,0.0,0.0,0.0,0.0,,,"I described the opening scene from #wolfofwallstreet to my mom.  Mom: ""You can do that?""",Neutral,1,258,2022-11-08T17:25:50.241126Z,2022-11-08T17:25:50.241126Z,10.834
15,402,10,403,2298871525.0,0.0,0.0,0.0,0.0,,,"coolest man ever in this movie, #leonardodicaprio #wolfofwallstreet",Positive,1,403,2022-11-08T17:47:09.753258Z,2022-11-08T17:47:09.753258Z,0.754
16,444,24,445,464068335.0,0.0,0.0,0.0,0.0,,,I like the Indian cheer the Chiefs do before their game. Ideas?? #wolfofwallstreet,Neutral,1,445,2022-11-08T17:50:44.567070Z,2022-11-08T17:50:44.567070Z,1.057
