index	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive	date
80913	68	68	68	4.833252170672701e+17	362646520.0	0.0	0.0	0.0	0.0			Finally getting round to watching #wolfofwallstreet so good!	0.0018	0.0135	0.9847	0.0
21415	6789	6789	6787	4.2704867854177485e+17	370593217.0	0.0	0.0	0.0	0.0			Wolf of Wall Street!! #epic #mint #leo #love #wolfofwallstreet	0.0033	0.0466	0.9501	2014-01-25
62955	6545	6545	6540	4.424115567444787e+17	445182324.0	0.0	0.0	0.0	0.0			This movie is bare laugh lml #WolfofWallStreet	0.6058	0.2592	0.1351	2014-03-08
17331	2705	2705	2705	4.2826300998813696e+17	307525685.0	0.0	0.0	0.0	18.0	4.28239758356394e+17	retweeted	RT @rmcgowan89: Date night with @lauponton treating the good lady to a Nandos and movie #WolfOfWallStreet #AussieAdnanJanuzaj	0.0028	0.2918	0.7054	2014-01-28
20936	6310	6310	6308	4.271645154077778e+17	286124480.0	0.0	0.0	0.0	0.0			her pussy was like heroin too me hahahhaa hahahahaa #wolfofwallstreet	0.2625	0.4076	0.3299	2014-01-25
40533	25907	25907	25899	4.238484279154524e+17	1364138215.0	0.0	0.0	0.0	5470.0	4.2384786245616026e+17	retweeted	RT @LeoDiCaprio: Congrats to my fellow nominees, @JonahHill, Marty, Terry Winter and #WolfofWallStreet family for the #Oscar noms.	0.0018	0.0304	0.9677	2014-01-16
37270	22644	22644	22636	4.240156989358244e+17	458904180.0	0.0	0.0	0.0	0.0	4.2384786245616026e+17	replied_to	“@LeoDiCaprio: #WolfofWallStreet #Oscar noms.” This will be your year, Leo!!!	0.0026	0.0454	0.952	2014-01-17
48315	3419	3419	3419	4.3536927749205606e+17	515463929.0	0.0	0.0	0.0	0.0			[VIDEO] We know who inspired you Leo: https://t.co/ARVbIQyMU5 #WolfOfWallStreet #BCKSTG	0.004	0.33	0.666	2014-02-17
78004	1389	1389	1389	4.697538858174669e+17	289907871.0	0.0	0.0	0.0	0.0			Can't wait to watch this again! #WolfOfWallStreet http://t.co/GKA0HEBhiG	0.0015	0.0087	0.9898	0.0
67393	10983	10983	10976	4.403045657457459e+17	20652550.0	0.0	0.0	0.0	0.0	4.4030386805303706e+17	replied_to	".@KayKayLorraine6 said it was the worst movie she'd seen ""@TheOracle13: Walked out of theater a&amp; got my $ back. 
#WolfOfWallStreet
#OSCARS ”"	0.895	0.0945	0.0106	2014-03-03
17893	3267	3267	3267	4.2800060395699405e+17	266057786.0	0.0	0.0	0.0	0.0			"Check out ""The Wolf of Wall Street VFX Highlights"" on Vimeo http://t.co/2fkKjdpcSA #Vimeo #wolfofwallstreet #martinscorsese"	0.0036	0.7351	0.2612	0.0
49784	4888	4888	4888	4.340552312118354e+17	869541798.0	0.0	0.0	0.0	0.0			so they banned #wolfOfWallStreet ....... jst the curiosity makes me wanna watch it a thousand plus times......	0.4204	0.4669	0.1127	2014-02-13
7228	4104	4104	4104	4.167700876268749e+17	843033696.0	1.0	0.0	1.0	0.0			About to see one of my bfs Leonardo #wolfofwallstreet	0.008	0.5287	0.4633	2013-12-28
68393	11983	11983	11976	4.402713211637596e+17	2235087991.0	1.0	0.0	0.0	0.0			Hoping Leo scores an Oscar tonight #WolfofWallStreet	0.0107	0.139	0.8502	2014-03-02
44407	29781	29781	29773	4.228410562508513e+17	2185256575.0	0.0	0.0	0.0	1273.0	4.2278332156778906e+17	retweeted	RT @LeoDiCaprio: Thank you Reuben! Appreciate it. RT: @RHoneymonzta: DiCaprio winning Best actor at the #GoldenGlobes for #wolfofwallstreet…	0.0017	0.025	0.9733	2014-01-13
50523	5627	5627	5627	4.333301102596669e+17	1584460710.0	1.0	0.0	1.0	0.0			Okay so after the five meals of the day we are on the way to the late nights snacks along with #wolfofwallstreet http://t.co/FgIgyiUksF	0.0028	0.692	0.3052	0.0
24795	10169	10169	10164	4.261324696757535e+17	362386790.0	0.0	0.0	0.0	0.0			Beast of a film #wolfofwallstreet	0.0099	0.0753	0.9148	2014-01-22
28683	14057	14057	14052	4.253481367025992e+17	576401741.0	0.0	0.0	0.0	5470.0	4.2384786245616026e+17	retweeted	RT @LeoDiCaprio: Congrats to my fellow nominees, @JonahHill, Marty, Terry Winter and #WolfofWallStreet family for the #Oscar noms.	0.0018	0.0304	0.9677	2014-01-20
